codice;geo_point
387;"{""type"":""Point"",""coordinates"":[11.286070782,44.5217555]}"
388;"{""type"":""Point"",""coordinates"":[11.286070782,44.5240038]}"
389;"{""type"":""Point"",""coordinates"":[11.286070782,44.526252101]}"
390;"{""type"":""Point"",""coordinates"":[11.286070782,44.528500402]}"
391;"{""type"":""Point"",""coordinates"":[11.286070782,44.530748703]}"
392;"{""type"":""Point"",""coordinates"":[11.286070782,44.532997004]}"
393;"{""type"":""Point"",""coordinates"":[11.286070782,44.535245305]}"
394;"{""type"":""Point"",""coordinates"":[11.286070782,44.537493606]}"
395;"{""type"":""Point"",""coordinates"":[11.286070782,44.539741907]}"
396;"{""type"":""Point"",""coordinates"":[11.286070782,44.541990208]}"
397;"{""type"":""Point"",""coordinates"":[11.286070782,44.544238509]}"
398;"{""type"":""Point"",""coordinates"":[11.289218547,44.427326861]}"
399;"{""type"":""Point"",""coordinates"":[11.289218547,44.429575162]}"
400;"{""type"":""Point"",""coordinates"":[11.289218547,44.431823463]}"
401;"{""type"":""Point"",""coordinates"":[11.289218547,44.434071764]}"
402;"{""type"":""Point"",""coordinates"":[11.289218547,44.436320065]}"
403;"{""type"":""Point"",""coordinates"":[11.289218547,44.438568366]}"
404;"{""type"":""Point"",""coordinates"":[11.289218547,44.440816667]}"
405;"{""type"":""Point"",""coordinates"":[11.289218547,44.443064968]}"
406;"{""type"":""Point"",""coordinates"":[11.289218547,44.445313269]}"
407;"{""type"":""Point"",""coordinates"":[11.289218547,44.44756157]}"
408;"{""type"":""Point"",""coordinates"":[11.289218547,44.44980987]}"
409;"{""type"":""Point"",""coordinates"":[11.289218547,44.452058171]}"
410;"{""type"":""Point"",""coordinates"":[11.289218547,44.454306472]}"
411;"{""type"":""Point"",""coordinates"":[11.289218547,44.456554773]}"
412;"{""type"":""Point"",""coordinates"":[11.289218547,44.458803074]}"
413;"{""type"":""Point"",""coordinates"":[11.289218547,44.465547977]}"
414;"{""type"":""Point"",""coordinates"":[11.289218547,44.490279287]}"
415;"{""type"":""Point"",""coordinates"":[11.289218547,44.492527588]}"
416;"{""type"":""Point"",""coordinates"":[11.289218547,44.494775889]}"
417;"{""type"":""Point"",""coordinates"":[11.289218547,44.49702419]}"
418;"{""type"":""Point"",""coordinates"":[11.289218547,44.49927249]}"
419;"{""type"":""Point"",""coordinates"":[11.289218547,44.501520791]}"
420;"{""type"":""Point"",""coordinates"":[11.289218547,44.503769092]}"
421;"{""type"":""Point"",""coordinates"":[11.289218547,44.506017393]}"
422;"{""type"":""Point"",""coordinates"":[11.289218547,44.508265694]}"
423;"{""type"":""Point"",""coordinates"":[11.289218547,44.510513995]}"
424;"{""type"":""Point"",""coordinates"":[11.289218547,44.512762296]}"
425;"{""type"":""Point"",""coordinates"":[11.289218547,44.515010597]}"
426;"{""type"":""Point"",""coordinates"":[11.289218547,44.517258898]}"
427;"{""type"":""Point"",""coordinates"":[11.289218547,44.519507199]}"
428;"{""type"":""Point"",""coordinates"":[11.289218547,44.5217555]}"
429;"{""type"":""Point"",""coordinates"":[11.289218547,44.5240038]}"
430;"{""type"":""Point"",""coordinates"":[11.289218547,44.526252101]}"
431;"{""type"":""Point"",""coordinates"":[11.289218547,44.528500402]}"
432;"{""type"":""Point"",""coordinates"":[11.289218547,44.530748703]}"
433;"{""type"":""Point"",""coordinates"":[11.289218547,44.532997004]}"
434;"{""type"":""Point"",""coordinates"":[11.289218547,44.535245305]}"
435;"{""type"":""Point"",""coordinates"":[11.289218547,44.537493606]}"
436;"{""type"":""Point"",""coordinates"":[11.289218547,44.539741907]}"
437;"{""type"":""Point"",""coordinates"":[11.289218547,44.541990208]}"
438;"{""type"":""Point"",""coordinates"":[11.292366311,44.427326861]}"
439;"{""type"":""Point"",""coordinates"":[11.292366311,44.429575162]}"
440;"{""type"":""Point"",""coordinates"":[11.292366311,44.431823463]}"
441;"{""type"":""Point"",""coordinates"":[11.292366311,44.434071764]}"
442;"{""type"":""Point"",""coordinates"":[11.292366311,44.436320065]}"
443;"{""type"":""Point"",""coordinates"":[11.292366311,44.438568366]}"
444;"{""type"":""Point"",""coordinates"":[11.292366311,44.440816667]}"
445;"{""type"":""Point"",""coordinates"":[11.292366311,44.443064968]}"
446;"{""type"":""Point"",""coordinates"":[11.292366311,44.445313269]}"
447;"{""type"":""Point"",""coordinates"":[11.292366311,44.44756157]}"
448;"{""type"":""Point"",""coordinates"":[11.292366311,44.44980987]}"
449;"{""type"":""Point"",""coordinates"":[11.292366311,44.452058171]}"
450;"{""type"":""Point"",""coordinates"":[11.292366311,44.454306472]}"
451;"{""type"":""Point"",""coordinates"":[11.292366311,44.456554773]}"
452;"{""type"":""Point"",""coordinates"":[11.292366311,44.458803074]}"
453;"{""type"":""Point"",""coordinates"":[11.292366311,44.461051375]}"
454;"{""type"":""Point"",""coordinates"":[11.292366311,44.463299676]}"
455;"{""type"":""Point"",""coordinates"":[11.292366311,44.465547977]}"
456;"{""type"":""Point"",""coordinates"":[11.292366311,44.467796278]}"
457;"{""type"":""Point"",""coordinates"":[11.292366311,44.470044579]}"
458;"{""type"":""Point"",""coordinates"":[11.292366311,44.47229288]}"
459;"{""type"":""Point"",""coordinates"":[11.292366311,44.47454118]}"
460;"{""type"":""Point"",""coordinates"":[11.292366311,44.476789481]}"
461;"{""type"":""Point"",""coordinates"":[11.292366311,44.479037782]}"
462;"{""type"":""Point"",""coordinates"":[11.292366311,44.481286083]}"
463;"{""type"":""Point"",""coordinates"":[11.292366311,44.490279287]}"
464;"{""type"":""Point"",""coordinates"":[11.292366311,44.492527588]}"
465;"{""type"":""Point"",""coordinates"":[11.292366311,44.494775889]}"
466;"{""type"":""Point"",""coordinates"":[11.292366311,44.49702419]}"
467;"{""type"":""Point"",""coordinates"":[11.292366311,44.49927249]}"
468;"{""type"":""Point"",""coordinates"":[11.292366311,44.501520791]}"
469;"{""type"":""Point"",""coordinates"":[11.292366311,44.503769092]}"
470;"{""type"":""Point"",""coordinates"":[11.292366311,44.506017393]}"
471;"{""type"":""Point"",""coordinates"":[11.292366311,44.508265694]}"
472;"{""type"":""Point"",""coordinates"":[11.292366311,44.510513995]}"
473;"{""type"":""Point"",""coordinates"":[11.292366311,44.512762296]}"
474;"{""type"":""Point"",""coordinates"":[11.292366311,44.515010597]}"
475;"{""type"":""Point"",""coordinates"":[11.292366311,44.517258898]}"
476;"{""type"":""Point"",""coordinates"":[11.292366311,44.519507199]}"
477;"{""type"":""Point"",""coordinates"":[11.292366311,44.5217555]}"
478;"{""type"":""Point"",""coordinates"":[11.292366311,44.5240038]}"
479;"{""type"":""Point"",""coordinates"":[11.292366311,44.526252101]}"
480;"{""type"":""Point"",""coordinates"":[11.292366311,44.528500402]}"
481;"{""type"":""Point"",""coordinates"":[11.292366311,44.530748703]}"
482;"{""type"":""Point"",""coordinates"":[11.292366311,44.532997004]}"
483;"{""type"":""Point"",""coordinates"":[11.292366311,44.535245305]}"
484;"{""type"":""Point"",""coordinates"":[11.295514076,44.434071764]}"
485;"{""type"":""Point"",""coordinates"":[11.295514076,44.436320065]}"
486;"{""type"":""Point"",""coordinates"":[11.295514076,44.438568366]}"
487;"{""type"":""Point"",""coordinates"":[11.295514076,44.440816667]}"
488;"{""type"":""Point"",""coordinates"":[11.295514076,44.443064968]}"
489;"{""type"":""Point"",""coordinates"":[11.295514076,44.445313269]}"
490;"{""type"":""Point"",""coordinates"":[11.295514076,44.44756157]}"
491;"{""type"":""Point"",""coordinates"":[11.295514076,44.44980987]}"
492;"{""type"":""Point"",""coordinates"":[11.295514076,44.452058171]}"
493;"{""type"":""Point"",""coordinates"":[11.295514076,44.454306472]}"
494;"{""type"":""Point"",""coordinates"":[11.295514076,44.456554773]}"
495;"{""type"":""Point"",""coordinates"":[11.295514076,44.458803074]}"
496;"{""type"":""Point"",""coordinates"":[11.295514076,44.461051375]}"
497;"{""type"":""Point"",""coordinates"":[11.295514076,44.463299676]}"
498;"{""type"":""Point"",""coordinates"":[11.295514076,44.465547977]}"
499;"{""type"":""Point"",""coordinates"":[11.295514076,44.467796278]}"
500;"{""type"":""Point"",""coordinates"":[11.295514076,44.470044579]}"
501;"{""type"":""Point"",""coordinates"":[11.295514076,44.47229288]}"
502;"{""type"":""Point"",""coordinates"":[11.295514076,44.47454118]}"
503;"{""type"":""Point"",""coordinates"":[11.295514076,44.476789481]}"
504;"{""type"":""Point"",""coordinates"":[11.295514076,44.479037782]}"
505;"{""type"":""Point"",""coordinates"":[11.295514076,44.481286083]}"
506;"{""type"":""Point"",""coordinates"":[11.295514076,44.488030986]}"
507;"{""type"":""Point"",""coordinates"":[11.295514076,44.490279287]}"
508;"{""type"":""Point"",""coordinates"":[11.295514076,44.492527588]}"
509;"{""type"":""Point"",""coordinates"":[11.295514076,44.494775889]}"
510;"{""type"":""Point"",""coordinates"":[11.295514076,44.49702419]}"
511;"{""type"":""Point"",""coordinates"":[11.295514076,44.49927249]}"
512;"{""type"":""Point"",""coordinates"":[11.295514076,44.501520791]}"
513;"{""type"":""Point"",""coordinates"":[11.295514076,44.503769092]}"
514;"{""type"":""Point"",""coordinates"":[11.295514076,44.506017393]}"
515;"{""type"":""Point"",""coordinates"":[11.295514076,44.508265694]}"
516;"{""type"":""Point"",""coordinates"":[11.295514076,44.510513995]}"
517;"{""type"":""Point"",""coordinates"":[11.295514076,44.512762296]}"
518;"{""type"":""Point"",""coordinates"":[11.295514076,44.515010597]}"
519;"{""type"":""Point"",""coordinates"":[11.295514076,44.517258898]}"
520;"{""type"":""Point"",""coordinates"":[11.295514076,44.519507199]}"
521;"{""type"":""Point"",""coordinates"":[11.295514076,44.5217555]}"
522;"{""type"":""Point"",""coordinates"":[11.295514076,44.5240038]}"
523;"{""type"":""Point"",""coordinates"":[11.295514076,44.526252101]}"
524;"{""type"":""Point"",""coordinates"":[11.295514076,44.528500402]}"
525;"{""type"":""Point"",""coordinates"":[11.295514076,44.530748703]}"
526;"{""type"":""Point"",""coordinates"":[11.295514076,44.532997004]}"
527;"{""type"":""Point"",""coordinates"":[11.298661841,44.431823463]}"
528;"{""type"":""Point"",""coordinates"":[11.298661841,44.434071764]}"
529;"{""type"":""Point"",""coordinates"":[11.298661841,44.436320065]}"
530;"{""type"":""Point"",""coordinates"":[11.298661841,44.438568366]}"
531;"{""type"":""Point"",""coordinates"":[11.298661841,44.440816667]}"
532;"{""type"":""Point"",""coordinates"":[11.298661841,44.443064968]}"
533;"{""type"":""Point"",""coordinates"":[11.298661841,44.445313269]}"
534;"{""type"":""Point"",""coordinates"":[11.298661841,44.44756157]}"
535;"{""type"":""Point"",""coordinates"":[11.298661841,44.44980987]}"
536;"{""type"":""Point"",""coordinates"":[11.298661841,44.452058171]}"
537;"{""type"":""Point"",""coordinates"":[11.298661841,44.454306472]}"
538;"{""type"":""Point"",""coordinates"":[11.298661841,44.456554773]}"
539;"{""type"":""Point"",""coordinates"":[11.298661841,44.458803074]}"
540;"{""type"":""Point"",""coordinates"":[11.298661841,44.461051375]}"
541;"{""type"":""Point"",""coordinates"":[11.298661841,44.463299676]}"
542;"{""type"":""Point"",""coordinates"":[11.298661841,44.465547977]}"
543;"{""type"":""Point"",""coordinates"":[11.298661841,44.467796278]}"
544;"{""type"":""Point"",""coordinates"":[11.298661841,44.470044579]}"
545;"{""type"":""Point"",""coordinates"":[11.298661841,44.47229288]}"
546;"{""type"":""Point"",""coordinates"":[11.298661841,44.47454118]}"
547;"{""type"":""Point"",""coordinates"":[11.298661841,44.476789481]}"
548;"{""type"":""Point"",""coordinates"":[11.298661841,44.479037782]}"
549;"{""type"":""Point"",""coordinates"":[11.298661841,44.481286083]}"
550;"{""type"":""Point"",""coordinates"":[11.298661841,44.483534384]}"
551;"{""type"":""Point"",""coordinates"":[11.298661841,44.485782685]}"
552;"{""type"":""Point"",""coordinates"":[11.298661841,44.488030986]}"
553;"{""type"":""Point"",""coordinates"":[11.298661841,44.490279287]}"
554;"{""type"":""Point"",""coordinates"":[11.298661841,44.492527588]}"
555;"{""type"":""Point"",""coordinates"":[11.298661841,44.494775889]}"
556;"{""type"":""Point"",""coordinates"":[11.298661841,44.49702419]}"
557;"{""type"":""Point"",""coordinates"":[11.298661841,44.49927249]}"
558;"{""type"":""Point"",""coordinates"":[11.298661841,44.501520791]}"
559;"{""type"":""Point"",""coordinates"":[11.298661841,44.503769092]}"
560;"{""type"":""Point"",""coordinates"":[11.298661841,44.506017393]}"
561;"{""type"":""Point"",""coordinates"":[11.298661841,44.508265694]}"
562;"{""type"":""Point"",""coordinates"":[11.298661841,44.510513995]}"
563;"{""type"":""Point"",""coordinates"":[11.298661841,44.512762296]}"
564;"{""type"":""Point"",""coordinates"":[11.298661841,44.515010597]}"
565;"{""type"":""Point"",""coordinates"":[11.298661841,44.517258898]}"
566;"{""type"":""Point"",""coordinates"":[11.298661841,44.519507199]}"
567;"{""type"":""Point"",""coordinates"":[11.298661841,44.5217555]}"
568;"{""type"":""Point"",""coordinates"":[11.298661841,44.5240038]}"
569;"{""type"":""Point"",""coordinates"":[11.298661841,44.526252101]}"
570;"{""type"":""Point"",""coordinates"":[11.298661841,44.528500402]}"
571;"{""type"":""Point"",""coordinates"":[11.298661841,44.530748703]}"
572;"{""type"":""Point"",""coordinates"":[11.298661841,44.532997004]}"
573;"{""type"":""Point"",""coordinates"":[11.301809606,44.429575162]}"
574;"{""type"":""Point"",""coordinates"":[11.301809606,44.431823463]}"
575;"{""type"":""Point"",""coordinates"":[11.301809606,44.434071764]}"
576;"{""type"":""Point"",""coordinates"":[11.301809606,44.436320065]}"
577;"{""type"":""Point"",""coordinates"":[11.301809606,44.438568366]}"
578;"{""type"":""Point"",""coordinates"":[11.301809606,44.440816667]}"
579;"{""type"":""Point"",""coordinates"":[11.301809606,44.443064968]}"
580;"{""type"":""Point"",""coordinates"":[11.301809606,44.445313269]}"
581;"{""type"":""Point"",""coordinates"":[11.301809606,44.44756157]}"
582;"{""type"":""Point"",""coordinates"":[11.301809606,44.44980987]}"
583;"{""type"":""Point"",""coordinates"":[11.301809606,44.452058171]}"
584;"{""type"":""Point"",""coordinates"":[11.301809606,44.454306472]}"
585;"{""type"":""Point"",""coordinates"":[11.301809606,44.456554773]}"
586;"{""type"":""Point"",""coordinates"":[11.301809606,44.458803074]}"
587;"{""type"":""Point"",""coordinates"":[11.301809606,44.461051375]}"
588;"{""type"":""Point"",""coordinates"":[11.301809606,44.463299676]}"
589;"{""type"":""Point"",""coordinates"":[11.301809606,44.465547977]}"
590;"{""type"":""Point"",""coordinates"":[11.301809606,44.467796278]}"
591;"{""type"":""Point"",""coordinates"":[11.301809606,44.470044579]}"
592;"{""type"":""Point"",""coordinates"":[11.301809606,44.47229288]}"
593;"{""type"":""Point"",""coordinates"":[11.301809606,44.47454118]}"
594;"{""type"":""Point"",""coordinates"":[11.301809606,44.476789481]}"
595;"{""type"":""Point"",""coordinates"":[11.301809606,44.479037782]}"
596;"{""type"":""Point"",""coordinates"":[11.301809606,44.481286083]}"
597;"{""type"":""Point"",""coordinates"":[11.301809606,44.483534384]}"
598;"{""type"":""Point"",""coordinates"":[11.301809606,44.485782685]}"
599;"{""type"":""Point"",""coordinates"":[11.301809606,44.488030986]}"
600;"{""type"":""Point"",""coordinates"":[11.301809606,44.490279287]}"
601;"{""type"":""Point"",""coordinates"":[11.301809606,44.492527588]}"
602;"{""type"":""Point"",""coordinates"":[11.301809606,44.494775889]}"
603;"{""type"":""Point"",""coordinates"":[11.301809606,44.49702419]}"
604;"{""type"":""Point"",""coordinates"":[11.301809606,44.49927249]}"
605;"{""type"":""Point"",""coordinates"":[11.301809606,44.501520791]}"
606;"{""type"":""Point"",""coordinates"":[11.301809606,44.503769092]}"
607;"{""type"":""Point"",""coordinates"":[11.301809606,44.506017393]}"
608;"{""type"":""Point"",""coordinates"":[11.301809606,44.508265694]}"
609;"{""type"":""Point"",""coordinates"":[11.301809606,44.510513995]}"
610;"{""type"":""Point"",""coordinates"":[11.301809606,44.512762296]}"
611;"{""type"":""Point"",""coordinates"":[11.301809606,44.515010597]}"
612;"{""type"":""Point"",""coordinates"":[11.301809606,44.517258898]}"
613;"{""type"":""Point"",""coordinates"":[11.301809606,44.519507199]}"
614;"{""type"":""Point"",""coordinates"":[11.301809606,44.5217555]}"
615;"{""type"":""Point"",""coordinates"":[11.301809606,44.5240038]}"
616;"{""type"":""Point"",""coordinates"":[11.301809606,44.526252101]}"
617;"{""type"":""Point"",""coordinates"":[11.301809606,44.528500402]}"
618;"{""type"":""Point"",""coordinates"":[11.301809606,44.530748703]}"
619;"{""type"":""Point"",""coordinates"":[11.301809606,44.532997004]}"
620;"{""type"":""Point"",""coordinates"":[11.304957371,44.427326861]}"
621;"{""type"":""Point"",""coordinates"":[11.304957371,44.429575162]}"
622;"{""type"":""Point"",""coordinates"":[11.304957371,44.431823463]}"
623;"{""type"":""Point"",""coordinates"":[11.304957371,44.434071764]}"
624;"{""type"":""Point"",""coordinates"":[11.304957371,44.436320065]}"
625;"{""type"":""Point"",""coordinates"":[11.304957371,44.438568366]}"
626;"{""type"":""Point"",""coordinates"":[11.304957371,44.440816667]}"
627;"{""type"":""Point"",""coordinates"":[11.304957371,44.443064968]}"
628;"{""type"":""Point"",""coordinates"":[11.304957371,44.445313269]}"
629;"{""type"":""Point"",""coordinates"":[11.304957371,44.44756157]}"
630;"{""type"":""Point"",""coordinates"":[11.304957371,44.44980987]}"
631;"{""type"":""Point"",""coordinates"":[11.304957371,44.452058171]}"
632;"{""type"":""Point"",""coordinates"":[11.304957371,44.454306472]}"
633;"{""type"":""Point"",""coordinates"":[11.304957371,44.456554773]}"
634;"{""type"":""Point"",""coordinates"":[11.304957371,44.458803074]}"
635;"{""type"":""Point"",""coordinates"":[11.304957371,44.461051375]}"
636;"{""type"":""Point"",""coordinates"":[11.304957371,44.463299676]}"
637;"{""type"":""Point"",""coordinates"":[11.304957371,44.465547977]}"
638;"{""type"":""Point"",""coordinates"":[11.304957371,44.467796278]}"
639;"{""type"":""Point"",""coordinates"":[11.304957371,44.470044579]}"
640;"{""type"":""Point"",""coordinates"":[11.304957371,44.47229288]}"
641;"{""type"":""Point"",""coordinates"":[11.304957371,44.47454118]}"
642;"{""type"":""Point"",""coordinates"":[11.304957371,44.476789481]}"
643;"{""type"":""Point"",""coordinates"":[11.304957371,44.479037782]}"
644;"{""type"":""Point"",""coordinates"":[11.304957371,44.481286083]}"
645;"{""type"":""Point"",""coordinates"":[11.304957371,44.483534384]}"
646;"{""type"":""Point"",""coordinates"":[11.304957371,44.485782685]}"
647;"{""type"":""Point"",""coordinates"":[11.304957371,44.488030986]}"
648;"{""type"":""Point"",""coordinates"":[11.304957371,44.490279287]}"
649;"{""type"":""Point"",""coordinates"":[11.304957371,44.492527588]}"
650;"{""type"":""Point"",""coordinates"":[11.304957371,44.494775889]}"
651;"{""type"":""Point"",""coordinates"":[11.304957371,44.49702419]}"
652;"{""type"":""Point"",""coordinates"":[11.304957371,44.49927249]}"
653;"{""type"":""Point"",""coordinates"":[11.304957371,44.501520791]}"
654;"{""type"":""Point"",""coordinates"":[11.304957371,44.503769092]}"
655;"{""type"":""Point"",""coordinates"":[11.304957371,44.506017393]}"
656;"{""type"":""Point"",""coordinates"":[11.304957371,44.508265694]}"
657;"{""type"":""Point"",""coordinates"":[11.304957371,44.510513995]}"
658;"{""type"":""Point"",""coordinates"":[11.304957371,44.512762296]}"
659;"{""type"":""Point"",""coordinates"":[11.304957371,44.515010597]}"
660;"{""type"":""Point"",""coordinates"":[11.304957371,44.517258898]}"
661;"{""type"":""Point"",""coordinates"":[11.304957371,44.519507199]}"
662;"{""type"":""Point"",""coordinates"":[11.304957371,44.5217555]}"
663;"{""type"":""Point"",""coordinates"":[11.304957371,44.5240038]}"
664;"{""type"":""Point"",""coordinates"":[11.304957371,44.526252101]}"
665;"{""type"":""Point"",""coordinates"":[11.304957371,44.528500402]}"
666;"{""type"":""Point"",""coordinates"":[11.304957371,44.530748703]}"
667;"{""type"":""Point"",""coordinates"":[11.308105135,44.42507856]}"
668;"{""type"":""Point"",""coordinates"":[11.308105135,44.427326861]}"
669;"{""type"":""Point"",""coordinates"":[11.308105135,44.429575162]}"
670;"{""type"":""Point"",""coordinates"":[11.308105135,44.431823463]}"
671;"{""type"":""Point"",""coordinates"":[11.308105135,44.434071764]}"
672;"{""type"":""Point"",""coordinates"":[11.308105135,44.436320065]}"
673;"{""type"":""Point"",""coordinates"":[11.308105135,44.438568366]}"
674;"{""type"":""Point"",""coordinates"":[11.308105135,44.440816667]}"
675;"{""type"":""Point"",""coordinates"":[11.308105135,44.443064968]}"
676;"{""type"":""Point"",""coordinates"":[11.308105135,44.445313269]}"
677;"{""type"":""Point"",""coordinates"":[11.308105135,44.44756157]}"
678;"{""type"":""Point"",""coordinates"":[11.308105135,44.44980987]}"
679;"{""type"":""Point"",""coordinates"":[11.308105135,44.452058171]}"
680;"{""type"":""Point"",""coordinates"":[11.308105135,44.454306472]}"
681;"{""type"":""Point"",""coordinates"":[11.308105135,44.456554773]}"
682;"{""type"":""Point"",""coordinates"":[11.308105135,44.458803074]}"
683;"{""type"":""Point"",""coordinates"":[11.308105135,44.461051375]}"
684;"{""type"":""Point"",""coordinates"":[11.308105135,44.463299676]}"
685;"{""type"":""Point"",""coordinates"":[11.308105135,44.465547977]}"
686;"{""type"":""Point"",""coordinates"":[11.308105135,44.467796278]}"
687;"{""type"":""Point"",""coordinates"":[11.308105135,44.470044579]}"
688;"{""type"":""Point"",""coordinates"":[11.308105135,44.47229288]}"
689;"{""type"":""Point"",""coordinates"":[11.308105135,44.47454118]}"
690;"{""type"":""Point"",""coordinates"":[11.308105135,44.476789481]}"
691;"{""type"":""Point"",""coordinates"":[11.308105135,44.479037782]}"
692;"{""type"":""Point"",""coordinates"":[11.308105135,44.481286083]}"
693;"{""type"":""Point"",""coordinates"":[11.308105135,44.483534384]}"
694;"{""type"":""Point"",""coordinates"":[11.308105135,44.485782685]}"
695;"{""type"":""Point"",""coordinates"":[11.308105135,44.488030986]}"
696;"{""type"":""Point"",""coordinates"":[11.308105135,44.490279287]}"
697;"{""type"":""Point"",""coordinates"":[11.308105135,44.492527588]}"
698;"{""type"":""Point"",""coordinates"":[11.308105135,44.494775889]}"
699;"{""type"":""Point"",""coordinates"":[11.308105135,44.49702419]}"
700;"{""type"":""Point"",""coordinates"":[11.308105135,44.49927249]}"
701;"{""type"":""Point"",""coordinates"":[11.308105135,44.501520791]}"
702;"{""type"":""Point"",""coordinates"":[11.308105135,44.503769092]}"
703;"{""type"":""Point"",""coordinates"":[11.308105135,44.506017393]}"
704;"{""type"":""Point"",""coordinates"":[11.308105135,44.508265694]}"
705;"{""type"":""Point"",""coordinates"":[11.308105135,44.510513995]}"
706;"{""type"":""Point"",""coordinates"":[11.308105135,44.512762296]}"
707;"{""type"":""Point"",""coordinates"":[11.308105135,44.515010597]}"
708;"{""type"":""Point"",""coordinates"":[11.308105135,44.517258898]}"
709;"{""type"":""Point"",""coordinates"":[11.308105135,44.519507199]}"
710;"{""type"":""Point"",""coordinates"":[11.308105135,44.5217555]}"
711;"{""type"":""Point"",""coordinates"":[11.308105135,44.5240038]}"
712;"{""type"":""Point"",""coordinates"":[11.308105135,44.526252101]}"
713;"{""type"":""Point"",""coordinates"":[11.308105135,44.528500402]}"
714;"{""type"":""Point"",""coordinates"":[11.308105135,44.535245305]}"
715;"{""type"":""Point"",""coordinates"":[11.3112529,44.42283026]}"
716;"{""type"":""Point"",""coordinates"":[11.3112529,44.42507856]}"
717;"{""type"":""Point"",""coordinates"":[11.3112529,44.427326861]}"
718;"{""type"":""Point"",""coordinates"":[11.3112529,44.429575162]}"
719;"{""type"":""Point"",""coordinates"":[11.3112529,44.431823463]}"
720;"{""type"":""Point"",""coordinates"":[11.3112529,44.434071764]}"
721;"{""type"":""Point"",""coordinates"":[11.3112529,44.436320065]}"
722;"{""type"":""Point"",""coordinates"":[11.3112529,44.438568366]}"
723;"{""type"":""Point"",""coordinates"":[11.3112529,44.440816667]}"
724;"{""type"":""Point"",""coordinates"":[11.3112529,44.443064968]}"
725;"{""type"":""Point"",""coordinates"":[11.3112529,44.445313269]}"
726;"{""type"":""Point"",""coordinates"":[11.3112529,44.44756157]}"
727;"{""type"":""Point"",""coordinates"":[11.3112529,44.44980987]}"
728;"{""type"":""Point"",""coordinates"":[11.3112529,44.452058171]}"
729;"{""type"":""Point"",""coordinates"":[11.3112529,44.454306472]}"
730;"{""type"":""Point"",""coordinates"":[11.3112529,44.456554773]}"
731;"{""type"":""Point"",""coordinates"":[11.3112529,44.458803074]}"
732;"{""type"":""Point"",""coordinates"":[11.3112529,44.461051375]}"
733;"{""type"":""Point"",""coordinates"":[11.3112529,44.463299676]}"
734;"{""type"":""Point"",""coordinates"":[11.3112529,44.465547977]}"
735;"{""type"":""Point"",""coordinates"":[11.3112529,44.467796278]}"
736;"{""type"":""Point"",""coordinates"":[11.3112529,44.470044579]}"
737;"{""type"":""Point"",""coordinates"":[11.3112529,44.47229288]}"
738;"{""type"":""Point"",""coordinates"":[11.3112529,44.47454118]}"
739;"{""type"":""Point"",""coordinates"":[11.3112529,44.476789481]}"
740;"{""type"":""Point"",""coordinates"":[11.3112529,44.479037782]}"
741;"{""type"":""Point"",""coordinates"":[11.3112529,44.481286083]}"
742;"{""type"":""Point"",""coordinates"":[11.3112529,44.483534384]}"
743;"{""type"":""Point"",""coordinates"":[11.3112529,44.485782685]}"
744;"{""type"":""Point"",""coordinates"":[11.3112529,44.488030986]}"
745;"{""type"":""Point"",""coordinates"":[11.3112529,44.490279287]}"
746;"{""type"":""Point"",""coordinates"":[11.3112529,44.492527588]}"
747;"{""type"":""Point"",""coordinates"":[11.3112529,44.494775889]}"
748;"{""type"":""Point"",""coordinates"":[11.3112529,44.49702419]}"
749;"{""type"":""Point"",""coordinates"":[11.3112529,44.49927249]}"
750;"{""type"":""Point"",""coordinates"":[11.3112529,44.501520791]}"
751;"{""type"":""Point"",""coordinates"":[11.3112529,44.503769092]}"
752;"{""type"":""Point"",""coordinates"":[11.3112529,44.506017393]}"
753;"{""type"":""Point"",""coordinates"":[11.3112529,44.508265694]}"
754;"{""type"":""Point"",""coordinates"":[11.3112529,44.510513995]}"
755;"{""type"":""Point"",""coordinates"":[11.3112529,44.512762296]}"
756;"{""type"":""Point"",""coordinates"":[11.3112529,44.515010597]}"
757;"{""type"":""Point"",""coordinates"":[11.3112529,44.517258898]}"
758;"{""type"":""Point"",""coordinates"":[11.3112529,44.519507199]}"
759;"{""type"":""Point"",""coordinates"":[11.3112529,44.5217555]}"
760;"{""type"":""Point"",""coordinates"":[11.3112529,44.5240038]}"
761;"{""type"":""Point"",""coordinates"":[11.3112529,44.526252101]}"
762;"{""type"":""Point"",""coordinates"":[11.3112529,44.528500402]}"
763;"{""type"":""Point"",""coordinates"":[11.3112529,44.530748703]}"
764;"{""type"":""Point"",""coordinates"":[11.3112529,44.532997004]}"
765;"{""type"":""Point"",""coordinates"":[11.3112529,44.535245305]}"
766;"{""type"":""Point"",""coordinates"":[11.3112529,44.537493606]}"
767;"{""type"":""Point"",""coordinates"":[11.314400665,44.42283026]}"
768;"{""type"":""Point"",""coordinates"":[11.314400665,44.42507856]}"
769;"{""type"":""Point"",""coordinates"":[11.314400665,44.427326861]}"
770;"{""type"":""Point"",""coordinates"":[11.314400665,44.429575162]}"
771;"{""type"":""Point"",""coordinates"":[11.314400665,44.431823463]}"
772;"{""type"":""Point"",""coordinates"":[11.314400665,44.434071764]}"
773;"{""type"":""Point"",""coordinates"":[11.314400665,44.436320065]}"
774;"{""type"":""Point"",""coordinates"":[11.314400665,44.438568366]}"
