codice;geo_point
88;"{""type"":""Point"",""coordinates"":[11.248297604,44.528500402]}"
89;"{""type"":""Point"",""coordinates"":[11.248297604,44.530748703]}"
90;"{""type"":""Point"",""coordinates"":[11.248297604,44.532997004]}"
91;"{""type"":""Point"",""coordinates"":[11.248297604,44.535245305]}"
92;"{""type"":""Point"",""coordinates"":[11.248297604,44.537493606]}"
93;"{""type"":""Point"",""coordinates"":[11.248297604,44.539741907]}"
94;"{""type"":""Point"",""coordinates"":[11.248297604,44.541990208]}"
95;"{""type"":""Point"",""coordinates"":[11.248297604,44.544238509]}"
96;"{""type"":""Point"",""coordinates"":[11.248297604,44.54648681]}"
97;"{""type"":""Point"",""coordinates"":[11.248297604,44.54873511]}"
98;"{""type"":""Point"",""coordinates"":[11.248297604,44.550983411]}"
99;"{""type"":""Point"",""coordinates"":[11.248297604,44.553231712]}"
100;"{""type"":""Point"",""coordinates"":[11.251445369,44.49927249]}"
101;"{""type"":""Point"",""coordinates"":[11.251445369,44.501520791]}"
102;"{""type"":""Point"",""coordinates"":[11.251445369,44.503769092]}"
103;"{""type"":""Point"",""coordinates"":[11.251445369,44.506017393]}"
104;"{""type"":""Point"",""coordinates"":[11.251445369,44.508265694]}"
105;"{""type"":""Point"",""coordinates"":[11.251445369,44.510513995]}"
106;"{""type"":""Point"",""coordinates"":[11.251445369,44.512762296]}"
107;"{""type"":""Point"",""coordinates"":[11.251445369,44.515010597]}"
108;"{""type"":""Point"",""coordinates"":[11.251445369,44.517258898]}"
109;"{""type"":""Point"",""coordinates"":[11.251445369,44.519507199]}"
110;"{""type"":""Point"",""coordinates"":[11.251445369,44.5217555]}"
111;"{""type"":""Point"",""coordinates"":[11.251445369,44.5240038]}"
112;"{""type"":""Point"",""coordinates"":[11.251445369,44.526252101]}"
113;"{""type"":""Point"",""coordinates"":[11.251445369,44.528500402]}"
114;"{""type"":""Point"",""coordinates"":[11.251445369,44.530748703]}"
115;"{""type"":""Point"",""coordinates"":[11.251445369,44.532997004]}"
116;"{""type"":""Point"",""coordinates"":[11.251445369,44.535245305]}"
