civ_key;indirizzo;nome;fonte;tipologia;link;quartiere;zona_di_prossimita;geo_point
037500055000;via d'Azeglio, 55;Teatro Alessandro Guardassoni;Settore Cultura;Teatro;https://teatroguardassoni.wordpress.com/il-teatro/dove/;Porto - Saragozza;Malpighi;"{""coordinates"": [11.339576958103295, 44.4881886540404], ""type"": ""Point""}"
368000418000;via Massarenti, 418;Cinema Teatro Tivoli;Settore Cultura;Cinema Teatro;http://www.cinemativoli.it/;San Donato - San Vitale;Cirenaica - Massarenti - Scandellara;"{""coordinates"": [11.38409578798083, 44.493853190854466], ""type"": ""Point""}"
139500017050;via Casarini, 17/5;Teatro Polivalente Occupato - T.P.O.;Internet;Teatro;http://www.tpo.bo.it/;Porto - Saragozza;Saffi;"{""coordinates"": [11.327715364481676, 44.50456930426723], ""type"": ""Point""}"
478000023000;via del Pratello, 23;Prat - Teatro del Pratello;Internet;Teatro;http://www.teatrodelpratello.it/;Porto - Saragozza;Malpighi;"{""coordinates"": [11.333841969008159, 44.495610870319716], ""type"": ""Point""}"
616100003000;Piazza Sergio Vieira de Mello, 3;Giardini al CUBO;Internet;Teatro;http://www.cubounipol.it/;San Donato - San Vitale;San Donato Vecchio;"{""coordinates"": [11.357794297291584, 44.51171242657334], ""type"": ""Point""}"
439700001000;via Panzini, 1;DOM la cupola del Pilastro;Cultura CittÃ  Metropolitana;Teatro;http://www.domlacupoladelpilastro.it/;San Donato - San Vitale;San Donato Nuovo;"{""coordinates"": [11.391972770239075, 44.51025591466471], ""type"": ""Point""}"
296000013000;via Guerrazzi, 13;Sala Mozart - Accademia Filarmonica;Cultura CittÃ  Metropolitana;Teatro;http://www.accademiafilarmonica.it/;Santo Stefano;Galvani;"{""coordinates"": [11.351097120609086, 44.491156993237816], ""type"": ""Point""}"
620000069000;via San Vitale, 69;Atelier SÃ¬;Settore Cultura;Teatro;http://ateliersi.it/si/;Santo Stefano;Irnerio;"{""coordinates"": [11.3550965793643, 44.49398970124899], ""type"": ""Point""}"
077500002070;via Lodovico Berti, 7/2;Nuovo Nosadella;Internet;Cinema;https://nosadella.18tickets.it/;Porto - Saragozza;Saffi;"{""coordinates"": [11.32999160850928, 44.502366334284744], ""type"": ""Point""}"
505500072000;via Riva Reno, 72;Lumiere - Sala Cervi;Internet;Cinema;https://programmazione.cinetecadibologna.it/luogo/sala-cervi/;Porto - Saragozza;Marconi;"{""coordinates"": [11.336821277237455, 44.49887748706575], ""type"": ""Point""}"
148000003000;Piazza di Porta Castiglione, 3;Cinema Castiglione;Internet;Teatro;;Santo Stefano;Osservanza - Paderno;"{""coordinates"": [11.349767291299587, 44.48462497033642], ""type"": ""Point""}"
029000003000;via dell'Arcoveggio, 3;Cinema Alba;Settore Cultura;Cinema;http://www.sangirolamoarcoveggio.it/cinema/;Navile;Bolognina;"{""coordinates"": [11.342244061652009, 44.51791869882825], ""type"": ""Point""}"
586000146000;via Toscana, 146;Cinema Teatro Bristol;Settore Cultura;Cinema Teatro;http://www.cinemateatrobristol.it/;Savena;Via Toscana - S. Ruffillo - Monte Donato;"{""coordinates"": [11.370261448914237, 44.456946601461595], ""type"": ""Point""}"
215800005000;viale Europa, 5;The Space Cinema Bologna;Settore Cultura;Cinema;http://www.thespacecinema.it/al-cinema/bologna;San Donato - San Vitale;San Donato Vecchio;"{""coordinates"": [11.372693342942542, 44.5113902997829], ""type"": ""Point""}"
181500004000;Piazza della Costituzione, 4;EuropAudotorium;Settore Cultura;Teatro;http://www.teatroeuropa.it/;San Donato - San Vitale;San Donato Vecchio;"{""coordinates"": [11.362501820783303, 44.51209008134427], ""type"": ""Point""}"
39100000100A;via delle Moline, 1/A;Teatro delle Moline;Settore Cultura;Teatro;http://www.teatridibologna.it/teatri/teatro-delle-moline/;Santo Stefano;Irnerio;"{""coordinates"": [11.347983203811742, 44.49792910397347], ""type"": ""Point""}"
427000012000;via degli Ortolani, 12;Scuola di Teatro Alessandra Galante Garrone;Settore Cultura;Teatro;http://www.scuoladiteatrodibologna.it/;Savena;Pontevecchio - Mazzini;"{""coordinates"": [11.380426861084851, 44.47502785993014], ""type"": ""Point""}"
516000002000;Piazza Rossini, 2;Sala Bossi - Conservatorio di Musica Giovan Battista Martini;Settore Cultura;Teatro;http://www.consbo.it/home;Santo Stefano;Irnerio;"{""coordinates"": [11.349120323480618, 44.49526788526466], ""type"": ""Point""}"
625500001000;via Volto Santo, 1;Teatro San Salvatore;Cultura CittÃ  Metropolitana;Teatro;http://teatrosansalvatore.wixsite.com/teatrosansalvatore;Porto - Saragozza;Malpighi;"{""coordinates"": [11.339434021385177, 44.49363739597693], ""type"": ""Point""}"
301500069000;via dell'Indipendenza, 69;Teatro Eden - I Portici Hotel;Settore Cultura;Teatro;http://www.iporticihotel.com/teatro-eden;Santo Stefano;Irnerio;"{""coordinates"": [11.344754874561213, 44.50191205620452], ""type"": ""Point""}"
58160000100D;via San Tommaso del Mercato, 1/D;Officina de' Malcontenti;Internet;Teatro;http://www.officinateatraledeimaicontenti.it/;Santo Stefano;Irnerio;"{""coordinates"": [11.344083680555217, 44.49793496529884], ""type"": ""Point""}"
