codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
9318;SCUOLE MERLANI;1;VIA SIEPELUNGA P.L. 99;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.462641, 11.358406
9320;MONTE DONATO;1;VIA SIEPELUNGA FR 118/A;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.461885, 11.356678
9322;SCUOLE MERLANI;1;VIA DELL`ANGELO CUSTODE 88;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.462408, 11.358359
9323;BORGO GESSAIOLI;1;VIA DELL`ANGELO CUSTODE N.37-77;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.461193, 11.360095
9324;BORGO GESSAIOLI;1;VIA DELL`ANGELO CUSTODE FR 17/A;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.460861, 11.360471
9325;PICCHIO;1;VIA DELL`ANGELO CUSTODE ANGOLO VIA DEL P;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.459716, 11.36666
9326;PICCHIO;1;VIA DELL`ANGELO CUSTODE 8;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.459373, 11.366696
9328;ANGELO CUSTODE NOVARO;1;VIA DELL`ANGELO CUSTODE 4;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.458745, 11.36877
9330;BUON PASTORE;1;VIA DELL`ANGELO CUSTODE FR PL 10184;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.459333, 11.369937
9350;ALBORNOZ;5;VIA ALBORNOZ 8/C;Savena;LUNGO SAVENA;44.465856, 11.37748
9352;PONCHIELLI;1;VIA GHIRARDINI FR 17;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.467053, 11.373179
9354;FOSCHERARA;1;VIA GHIRARDINI 16;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.469064, 11.373852
9358;VILLA MAZZACORATI;1;VIA MASCAGNI 4;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.470154, 11.371645
9360;PONCHIELLI;5;VIA PONCHIELLI 10;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.466453, 11.372589
9401;VILLA MAZZACORATI;3;VIA FOSCHERARA 1/2;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.469171, 11.371731
9403;FOSCHERARA;5;VIA FOSCHERARA 3/17;Savena;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;44.468326, 11.373859
9405;BENEDETTO MARCELLO;3;VIA CARISSIMI 3;Savena;LUNGO SAVENA;44.467446, 11.377218
9450;CAVAZZONI;1;VIA CAVAZZONI FR 6/A;Savena;PONTEVECCHIO - MAZZINI;44.470883, 11.37815
9451;CAVAZZONI;1;VIA CAVAZZONI 6/A;Savena;LUNGO SAVENA;44.470762, 11.377906
9452;CHERUBINI;2;VIA CAVAZZONI FR 2/G;Savena;PONTEVECCHIO - MAZZINI;44.470482, 11.381402
9453;CHERUBINI;2;VIA CAVAZZONI 4;Savena;LUNGO SAVENA;44.470472, 11.38061
9454;GUBELLINI;4;VIA BATTAGLIA 6;Savena;LUNGO SAVENA;44.468792, 11.381308
9455;GUBELLINI;5;VIA BATTAGLIA 5;Savena;LUNGO SAVENA;44.469477, 11.381713
9458;BATTAGLIA;4;VIA BATTAGLIA 12/3;Savena;LUNGO SAVENA;44.466634, 11.37946
9459;BATTAGLIA;5;VIA BATTAGLIA 21/C;Savena;LUNGO SAVENA;44.466612, 11.379208
9460;ABBA;2;VIA ABBA FR PL 5;Savena;LUNGO SAVENA;44.4649, 11.378837
9461;ALBORNOZ;2;VIA BATTAGLIA 27;Savena;LUNGO SAVENA;44.465148, 11.377326
9462;STADIO FALCHI;3;VIA MARIO P.L. 8;Savena;LUNGO SAVENA;44.463494, 11.378943
9463;STADIO FALCHI;2;VIA MARIO 11;Savena;LUNGO SAVENA;44.463763, 11.378564
9464;ALBORNOZ;1;VIA DELLA BATTAGLIA 12/7;Savena;LUNGO SAVENA;44.465771, 11.378508
9466;ALBERTO MARIO;3;VIA A.MARIO P.L. 21;Savena;LUNGO SAVENA;44.460711, 11.379421
9467;ALBERTO MARIO;3;VIA A.MARIO FR 64;Savena;LUNGO SAVENA;44.460582, 11.379127
9499;TOSCANA PAVESE 2;4;VIA TOSCANA 233;Savena;LUNGO SAVENA;44.448141, 11.359129
9501;TOSCANA PAVESE 1;8;VIA TOSCANA P.L. 188;Savena;LUNGO SAVENA;44.450325, 11.361504
22311;CROCIONE;1;VIA CROCIONE CIV. 3/2;San Donato - San Vitale;SAN DONATO NUOVO;44.514927, 11.428017
32045;CADRIANO DI VITTORIO;1;VIA CADRIANO FR 5;San Donato - San Vitale;SAN DONATO NUOVO;44.542777, 11.395389
42502;CA` BIANCA;2;VIA DEL TREBBO 10;Navile;BERTALIA - NOCE;44.552115, 11.348937
42504;TREBBO ROSARIO;2;VIA TREBBO 40M DOPO FR. 5;Navile;BERTALIA - NOCE;44.552857, 11.345266
51510;LIPPO CASE GNUDI;1;VIA SANT`ANNA FR 5;Borgo Panigale - Reno;BIRRA - BARGELLINO - LAVINO;44.543943, 11.287656
61533;Z.I. ZOLA PREDOSA CURIEL;2;VIA ROMA 35;Borgo Panigale - Reno;BORGO PANIGALE;44.49659, 11.248207
62001;RIGOSA CHIESA;3;VIA RIGOSA 10 METRI PRIMA INCROCIO CON V;Borgo Panigale - Reno;BORGO PANIGALE;44.511873, 11.238742
62002;RIGOSA CHIESA;3;VIA RIGOSA 20 METRI DOPO INCROCIO CON VI;Borgo Panigale - Reno;BORGO PANIGALE;44.511924, 11.238908
99010;VILLA SPADA;1;VIA DI CASAGLIA ANG.SARAGOZZA;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.488741, 11.316145
99011;VILLA SPADA;1;VIA DI CASAGLIA ANG. SARAGOZZA;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.488693, 11.316269
99013;CASAGLIA 31;1;VIA DI CASAGLIA 31;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.484691, 11.314287
99030;VILLA REVEDIN;1;VIA BACCHELLI;Santo Stefano;OSSERVANZA - PADERNO;44.478454, 11.34379
