codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
301;SFERISTERIO;14;VIA IRNERIO 11;Santo Stefano;IRNERIO;44.500449, 11.347213
302;SFERISTERIO;16;VIA IRNERIO FR 5/E;Santo Stefano;IRNERIO;44.500693, 11.346732
303;IRNERIO;9;VIA IRNERIO FR 20/C;Santo Stefano;IRNERIO;44.499793, 11.34979
304;IRNERIO;7;VIA IRNERIO 18;Santo Stefano;IRNERIO;44.499996, 11.349547
305;PORTA SAN DONATO;26;VIA IRNERIO 57;Santo Stefano;IRNERIO;44.498431, 11.355144
306;PORTA SAN DONATO;17;VIA IRNERIO 46;Santo Stefano;IRNERIO;44.498918, 11.35378
331;RIGHI;2;VIA AUGUSTO RIGHI 3/A;Santo Stefano;IRNERIO;44.498981, 11.344601
333;OBERDAN;2;VIA OBERDAN 30/F;Santo Stefano;IRNERIO;44.498343, 11.346323
335;PIAZZA SAN MARTINO;2;VIA MARSALA 27;Santo Stefano;IRNERIO;44.49703, 11.346698
339;TEATRO COMUNALE;2;PIAZZA VERDI 4;Santo Stefano;IRNERIO;44.496093, 11.350233
352;DON MINZONI - MAMBO;3;VIA DON MINZONI 15;Porto - Saragozza;MARCONI;44.502945, 11.336545
353;BOVI CAMPEGGI QUESTURA;2;VIA BOVI CAMPEGGI 19;Porto - Saragozza;SAFFI;44.505355, 11.335383
354;BOVI CAMPEGGI QUESTURA;2;VIA BOVI CAMPEGGI FR 15;Porto - Saragozza;SAFFI;44.50552, 11.335239
355;BOVI CAMPEGGI;2;VIA BOVI CAMPEGGI 7/2;Porto - Saragozza;SAFFI;44.505787, 11.332293
356;BOVI CAMPEGGI;2;VIA BOVI CAMPEGGI 4 H-G-F;Porto - Saragozza;SAFFI;44.506012, 11.331875
397;INDIPENDENZA MILLE;3;VIA INDIPENDENZA 66/68;Porto - Saragozza;MARCONI;44.502131, 11.344639
398;INDIPENDENZA MILLE;1;VIA INDIPENDENZA 71;Santo Stefano;IRNERIO;44.50229, 11.344784
399;AUTOSTAZIONE;5;VIA INDIPENDENZA 71 R (PENSILINA R);Santo Stefano;IRNERIO;44.503131, 11.345081
400;SAN PIETRO;3;VIA INDIPENDENZA 8/A;Porto - Saragozza;MALPIGHI;44.495661, 11.342757
401;SAN PIETRO;4;VIA INDIPENDENZA FR 4;Santo Stefano;IRNERIO;44.495362, 11.342833
402;INDIPENDENZA;4;VIA INDIPENDENZA 12/C;Porto - Saragozza;MALPIGHI;44.496637, 11.34301
403;INDIPENDENZA;3;VIA INDIPENDENZA 21;Santo Stefano;IRNERIO;44.497171, 11.343333
404;VIII AGOSTO;7;VIA INDIPENDENZA 56/B;Porto - Saragozza;MARCONI;44.500288, 11.344074
405;VIII AGOSTO;5;VIA INDIPENDENZA 59;Santo Stefano;IRNERIO;44.50058, 11.344338
407;AUTOSTAZIONE;6;VIA INDIPENDENZA 71 V (PENSILINA Q);Santo Stefano;IRNERIO;44.503309, 11.345139
408;ARENA DEL SOLE;1;VIA INDIPENDENZA 44;Porto - Saragozza;MARCONI;44.499331, 11.343797
409;INDIPENDENZA NORD;1;VIA DELL`INDIPENDENZA FR. 70;Santo Stefano;IRNERIO;44.502612, 11.34491
410;AUTOSTAZIONE;17;PIAZZA XX SETTEMBRE FR 6 (PENSILINA N);Porto - Saragozza;MARCONI;44.504253, 11.345202
411;AUTOSTAZIONE;10;PIAZZA XX SETTEMBRE (PENSILINA P);Santo Stefano;IRNERIO;44.504152, 11.345324
413;AUTOSTAZIONE;4;PIAZZA XX SETTEMBRE (PENSILINA O);Santo Stefano;IRNERIO;44.504331, 11.345369
449;PIAZZA DEI MARTIRI;9;PIAZZA DEI MARTIRI 1;Porto - Saragozza;MARCONI;44.50184, 11.340413
450;PIAZZA DEI MARTIRI;1;PIAZZA DEI MARTIRI 9;Porto - Saragozza;MARCONI;44.502402, 11.339341
451;MARCONI;12;VIA MARCONI 9;Porto - Saragozza;MALPIGHI;44.496926, 11.337688
452;MARCONI;9;VIA MARCONI 16/F;Porto - Saragozza;MARCONI;44.497057, 11.33748
455;MARCONI;14;VIA MARCONI FR 22;Porto - Saragozza;MALPIGHI;44.497996, 11.338184
458;MILLE INDIPENDENZA;1;VIA DEI MILLE 5;Porto - Saragozza;MARCONI;44.501439, 11.343743
459;PIAZZA DEI MARTIRI;15;VIA MARCONI 69/E;Porto - Saragozza;MARCONI;44.500841, 11.339505
461;MILLE (PIAZZA DEI MARTIRI;1;VIA DEI MILLE 22/B;Porto - Saragozza;MARCONI;44.501892, 11.340956
462;PIAZZA DEI MARTIRI;10;VIA MARCONI 34;Porto - Saragozza;MARCONI;44.500258, 11.338991
463;MILLE;9;VIA DEI MILLE 12;Porto - Saragozza;MARCONI;44.501515, 11.342652
465;MILLE (PIAZZA DEI MARTIRI;11;VIA DEI MILLE 20;Porto - Saragozza;MARCONI;44.501757, 11.341404
466;MILLE;23;VIA DEI MILLE 19;Porto - Saragozza;MARCONI;44.501921, 11.341309
467;MILAZZO;1;VIA MILAZZO 30 METRI PRIMA VIA GRAMSCI;Porto - Saragozza;MARCONI;44.503228, 11.341651
469;AMENDOLA;24;VIA AMENDOLA 5;Porto - Saragozza;MARCONI;44.50317, 11.340517
470;AMENDOLA;12;VIA AMENDOLA 2;Porto - Saragozza;MARCONI;44.503022, 11.340272
471;STAZIONE CENTRALE;1;VIALE PIETRAMELLARA (PENSILINA L);Porto - Saragozza;MARCONI;44.504787, 11.34462
472;STAZIONE CENTRALE;3;VIALE PIETRAMELLARA TRA 18/3 E P.C.16877;Porto - Saragozza;MARCONI;44.505592, 11.340941
473;MILLE;2;VIA DEI MILLE 8/C;Porto - Saragozza;MARCONI;44.501385, 11.343288
474;STAZIONE CENTRALE;3;VIALE PIETRAMELLARA FR 53 (PENSILINA K);Porto - Saragozza;MARCONI;44.505186, 11.343189
475;PIAZZA XX SETTEMBRE;1;PIAZZA XX SETTEMBRE FR. 3/F;Porto - Saragozza;MARCONI;44.504452, 11.344304
476;PIAZZA XX SETTEMBRE;1;PIAZZA XX SETTEMBRE 3/F;Porto - Saragozza;MARCONI;44.504481, 11.344205
500;BOLOGNA AUTOSTAZIONE;42;VIALE MASINI 3;Santo Stefano;IRNERIO;44.503986, 11.346827
527;DON MINZONI - MAMBO;14;VIA DON MINZONI FR 17;Porto - Saragozza;MARCONI;44.502959, 11.335879
598;PIAZZA ROOSEVELT;1;PIAZZA ROOSEVELT 4I;Porto - Saragozza;MALPIGHI;44.494416, 11.340695
599;BATTISTI;1;VIA BATTISTI 14/A;Porto - Saragozza;MALPIGHI;44.494491, 11.338773
600;PIAZZA ROOSEVELT;2;PIAZZA ROOSEVELT 4;Porto - Saragozza;MALPIGHI;44.494479, 11.340257
601;UGO BASSI;9;VIA BASSI U. 21/L;Porto - Saragozza;MALPIGHI;44.495647, 11.338178
602;UGO BASSI;4;VIA BASSI U. 6/D;Porto - Saragozza;MALPIGHI;44.495266, 11.340075
604;UGO BASSI;7;VIA BASSI U. 10/I;Porto - Saragozza;MALPIGHI;44.49547, 11.338473
605;LAME;5;VIA LAME 15;Porto - Saragozza;MARCONI;44.496952, 11.336872
607;LAME;3;VIA LAME 25;Porto - Saragozza;MARCONI;44.497153, 11.336754
609;RONDONE;3;VIA LAME 85/D;Porto - Saragozza;MARCONI;44.499938, 11.334802
611;PALASPORT;1;VIA CALORI 13;Porto - Saragozza;MARCONI;44.500561, 11.331179
612;LAME;3;VIA MARCONI 6/A;Porto - Saragozza;MARCONI;44.496481, 11.337016
614;RONDONE;3;VIA LAME 100;Porto - Saragozza;MARCONI;44.500161, 11.334497
616;SAN FELICE;10;VIA SAN FELICE 56/D;Porto - Saragozza;MALPIGHI;44.497483, 11.332063
619;LAME;3;VIA LAME 31;Porto - Saragozza;MARCONI;44.497481, 11.336541
620;PORTA SAN FELICE;10;VIA SAN FELICE 134;Porto - Saragozza;MALPIGHI;44.49882, 11.328267
621;LAME;5;VIA LAME 29C;Porto - Saragozza;MARCONI;44.497345, 11.336611
622;MARCONI;3;VIA MARCONI 20;Porto - Saragozza;MARCONI;44.497831, 11.3379
701;PIAZZA MALPIGHI;8;PIAZZA MALPIGHI 17;Porto - Saragozza;MALPIGHI;44.494326, 11.336301
702;PIAZZA MALPIGHI;7;PIAZZA MALPIGHI 8/D;Porto - Saragozza;MALPIGHI;44.49417, 11.336421
703;PIAZZA SAN FRANCESCO;3;PIAZZA S.FRANCESCO 12;Porto - Saragozza;MALPIGHI;44.495234, 11.335897
704;PIAZZA MALPIGHI;11;PIAZZA MALPIGHI 14/E;Porto - Saragozza;MALPIGHI;44.493704, 11.336327
705;SANT`ISAIA;3;VIA SANT`ISAIA 29/B;Porto - Saragozza;MALPIGHI;44.494021, 11.332277
706;SANT`ISAIA;5;VIA SANT`ISAIA 44;Porto - Saragozza;MALPIGHI;44.493941, 11.332249
707;SANT`ISAIA;3;VIA FRASSINAGO 3/E;Porto - Saragozza;MALPIGHI;44.493454, 11.332707
709;PORTA SANT`ISAIA;6;VIA SANT`ISAIA 75/2;Porto - Saragozza;MALPIGHI;44.494547, 11.32943
710;PORTA SANT`ISAIA;8;VIA SANT`ISAIA 106;Porto - Saragozza;MALPIGHI;44.494383, 11.329965
711;PORTA SARAGOZZA - FRASSIN;1;PIAZZA DI PORTA SARAGOZZA PL 11;Porto - Saragozza;MALPIGHI;44.490631, 11.330783
750;FARINI;4;VIA FARINI 3/I;Santo Stefano;GALVANI;44.491328, 11.342873
752;URBANA;1;VIA URBANA 4;Porto - Saragozza;MALPIGHI;44.490023, 11.34067
753;FARINI;13;VIA FARINI 2/F;Santo Stefano;GALVANI;44.491395, 11.342272
754;COLLEGIO DI SPAGNA;5;VIA SARAGOZZA 6;Porto - Saragozza;MALPIGHI;44.490273, 11.336819
755;COLLEGIO DI SPAGNA;2;VIA SARAGOZZA 1;Porto - Saragozza;MALPIGHI;44.490451, 11.337379
756;NOSADELLA;4;VIA SARAGOZZA 34;Porto - Saragozza;MALPIGHI;44.490001, 11.33384
758;D`AZEGLIO;4;VIA D`AZEGLIO 44;Santo Stefano;GALVANI;44.490441, 11.341353
759;NOSADELLA;2;VIA SARAGOZZA 39/B;Porto - Saragozza;MALPIGHI;44.490102, 11.334171
760;PORTA SARAGOZZA - FRASSIN;4;VIA SARAGOZZA 94;Porto - Saragozza;MALPIGHI;44.490257, 11.331008
761;PORTA SARAGOZZA - FRASSIN;2;VIA SARAGOZZA 71/D;Porto - Saragozza;MALPIGHI;44.49037, 11.331213
799;PIAZZA CAVOUR;2;PIAZZA CAVOUR 6;Santo Stefano;GALVANI;44.491142, 11.343645
800;PIAZZA CAVOUR;2;PIAZZA CAVOUR 5/D;Santo Stefano;GALVANI;44.490979, 11.343651
801;PIAZZA CAVOUR;1;PIAZZA CAVOUR 5;Santo Stefano;GALVANI;44.490808, 11.343657
802;PIAZZA CAVOUR;2;PIAZZA CAVOUR 2;Santo Stefano;GALVANI;44.49086, 11.3442
803;TRIBUNALE;7;PIAZZA TRIBUNALI P.L. 2;Santo Stefano;GALVANI;44.488224, 11.343691
804;TRIBUNALE;6;VIALE XII GIUGNO 2;Santo Stefano;GALVANI;44.487942, 11.344246
805;XII GIUGNO;6;VIALE XII GIUGNO 15/2;Santo Stefano;GALVANI;44.485753, 11.346975
806;XII GIUGNO;6;VIALE XII GIUGNO 16;Santo Stefano;GALVANI;44.486362, 11.34578
807;PIAZZA CAVOUR;2;PIAZZA CAVOUR 4;Santo Stefano;GALVANI;44.490659, 11.343927
809;PIAZZA CAVOUR;2;PIAZZA CAVOUR 4;Santo Stefano;GALVANI;44.490646, 11.344103
811;PIAZZA CAVOUR;1;PIAZZA CAVOUR 2;Santo Stefano;GALVANI;44.49104, 11.344194
851;TAGLIAPIETRE;1;VIA TAGLIAPIETRE FR. CIV. 4;Porto - Saragozza;MALPIGHI;44.491071, 11.340045
855;SAN LUIGI PORTA SAN MAMOL;2;VIA D`AZEGLIO 57;Porto - Saragozza;MALPIGHI;44.487992, 11.339633
856;SAN LUIGI PORTA SAN MAMOL;2;VIA D`AZEGLIO 92;Santo Stefano;GALVANI;44.487216, 11.339702
897;PIAZZA MINGHETTI;4;VIA FARINI 13;Santo Stefano;GALVANI;44.491465, 11.345431
902;PIAZZA MINGHETTI;3;VIA FARINI FR 13/B;Santo Stefano;GALVANI;44.491567, 11.345724
903;PIAZZA MINGHETTI;3;VIA FARINI 23;Santo Stefano;GALVANI;44.491447, 11.347191
904;PIAZZA MINGHETTI;8;VIA FARINI FR 11/D;Santo Stefano;GALVANI;44.491569, 11.345196
905;GARGANELLI;5;VIA SANTO STEFANO 43;Santo Stefano;GALVANI;44.48975, 11.350481
906;GARGANELLI;7;VIA SANTO STEFANO 44;Santo Stefano;GALVANI;44.489644, 11.350779
909;FONDAZZA;2;VIA DANTE 1/D;Santo Stefano;GALVANI;44.486924, 11.353939
910;FONDAZZA;2;VIA DANTE 2/C;Santo Stefano;GALVANI;44.487093, 11.354034
911;BARACCANO;3;VIA SANTO STEFANO FR 158;Santo Stefano;GALVANI;44.485526, 11.354939
912;BARACCANO;5;VIA SANTO STEFANO 136;Santo Stefano;GALVANI;44.486021, 11.354469
951;CARTOLERIA;1;VIA CARTOLERIA FR 16;Santo Stefano;GALVANI;44.489811, 11.349251
952;GARGANELLI;1;VIA RIALTO 4/A;Santo Stefano;GALVANI;44.489424, 11.349688
953;CESTELLO;1;VIA CASTIGLIONE 49/A;Santo Stefano;GALVANI;44.487913, 11.347879
954;RIALTO;1;VIA RIALTO 46;Santo Stefano;GALVANI;44.487509, 11.348706
1002;PORTA MAGGIORE;3;VIA MAZZINI 2/2;Santo Stefano;MURRI;44.489888, 11.358196
1003;PORTA MAGGIORE;10;VIA MAZZINI 3;Santo Stefano;MURRI;44.489669, 11.3583
1004;ALBERTONI;2;VIA MAZZINI 96;Santo Stefano;MURRI;44.487827, 11.36337
1005;ALBERTONI;10;VIA MAZZINI 49;Santo Stefano;MURRI;44.487909, 11.362908
1006;ALEMANNI - AGEOP RICERCA;3;VIA MAZZINI 140;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.486559, 11.366764
1008;ALBERTONI;5;VIA MAZZINI 82/E;Santo Stefano;MURRI;44.488548, 11.3616
1009;ALEMANNI - AGEOP RICERCA;6;VIA MAZZINI 65;Santo Stefano;MURRI;44.487117, 11.365077
1010;LAURA BASSI;4;VIA MAZZINI 154;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.485176, 11.370506
1011;LAURA BASSI;4;VIA MAZZINI 95;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.485514, 11.369401
1012;FERMI;8;VIA EMILIA LEVANTE 6/5;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.483938, 11.373763
1013;FERMI;9;VIA MAZZINI 117/D;Santo Stefano;MURRI;44.484402, 11.372248
1018;MAZZINI STAZIONE;3;VIA EMILIA LEVANTE FR 21/A;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.483019, 11.375964
1019;MAZZINI STAZIONE;4;VIA EMILIA LEVANTE FR 22/B;Savena;PONTEVECCHIO - MAZZINI;44.482746, 11.376544
1020;PONTEVECCHIO;4;VIA EMILIA LEVANTE 92;Savena;PONTEVECCHIO - MAZZINI;44.481883, 11.379062
1021;PONTEVECCHIO;5;VIA EMILIA LEVANTE 63/H;Savena;PONTEVECCHIO - MAZZINI;44.481431, 11.380465
1022;VILLA PARADISO;3;VIA EMILIA LEVANTE FR 81/G;Savena;PONTEVECCHIO - MAZZINI;44.481074, 11.381594
1025;VILLA LAURA;3;VIA EMILIA LEVANTE FR 158/2;Savena;PONTEVECCHIO - MAZZINI;44.479332, 11.385258
1026;VILLA LAURA;3;VIA EMILIA LEVANTE 164;Savena;FOSSOLO - DUE MADONNE;44.47921, 11.38597
1027;ARNO;7;VIA DOZZA 1;Savena;PONTEVECCHIO - MAZZINI;44.477165, 11.391193
1028;ARNO;8;VIA EMILIA LEVANTE 194/14;Savena;FOSSOLO - DUE MADONNE;44.477824, 11.389811
1031;EMILIA CALABRIA;2;VIA EMILIA LEVANTE 137/8;Savena;PONTEVECCHIO - MAZZINI;44.478367, 11.387947
1033;VILLAGGIO DUE MADONNE;7;VIA DOZZA 19/B;Savena;PONTEVECCHIO - MAZZINI;44.475596, 11.395177
1034;VILLAGGIO DUE MADONNE;8;VIA DOZZA FR 19/B;Savena;FOSSOLO - DUE MADONNE;44.475719, 11.395308
1035;PARCO DEI CEDRI;2;VIA DOZZA 33;Savena;PONTEVECCHIO - MAZZINI;44.473575, 11.400501
1036;PARCO DEI CEDRI;3;VIA DOZZA CIMITERO INGLESE;Savena;FOSSOLO - DUE MADONNE;44.474048, 11.399426
1101;BITONE;1;VIA BELLARIA 17;Savena;PONTEVECCHIO - MAZZINI;44.478199, 11.384784
1102;BITONE;1;VIA BELLARIA 2;Savena;PONTEVECCHIO - MAZZINI;44.479796, 11.383743
1103;SARDEGNA;2;VIA SARDEGNA 5/A;Savena;PONTEVECCHIO - MAZZINI;44.476128, 11.383518
1104;LOMBARDIA;1;VIA LOMBARDIA 16;Savena;PONTEVECCHIO - MAZZINI;44.477253, 11.384821
1105;CALABRIA;2;VIA CALABRIA 49;Savena;PONTEVECCHIO - MAZZINI;44.474466, 11.382495
1106;SARDEGNA;2;VIA SARDEGNA 8;Savena;PONTEVECCHIO - MAZZINI;44.47574, 11.383993
1109;MILANO;1;VIA MILANO 9;Savena;PONTEVECCHIO - MAZZINI;44.473148, 11.381372
1110;CALABRIA;2;VIA CALABRIA 42;Savena;PONTEVECCHIO - MAZZINI;44.474584, 11.382877
1111;CHIESA SAN LORENZO;1;VIA MAZZONI 8;Savena;PONTEVECCHIO - MAZZINI;44.471828, 11.383368
1112;CHIESA SAN LORENZO;1;VIA MAZZONI FR P.L. 16;Savena;PONTEVECCHIO - MAZZINI;44.472611, 11.381665
1114;MAZZONI;1;VIA MAZZONI FR 2;Savena;PONTEVECCHIO - MAZZINI;44.471537, 11.385632
1117;MAZZONI;1;VIA MAZZONI 2;Savena;PONTEVECCHIO - MAZZINI;44.471481, 11.385303
1118;FIRENZE;6;VIA FIRENZE 18;Savena;PONTEVECCHIO - MAZZINI;44.469962, 11.38563
1119;FIRENZE;7;VIA FIRENZE 7;Savena;PONTEVECCHIO - MAZZINI;44.47077, 11.385751
1120;LONGO CAVAZZONI;2;VIA LONGO FR INTERSEZIONE VIA BEZZECCA;Savena;PONTEVECCHIO - MAZZINI;44.468206, 11.385219
1121;LONGO CAVAZZONI;2;VIA LONGO 20 MT PRIMA INTERSEZIONE VIA B;Savena;LUNGO SAVENA;44.46839, 11.385051
1122;PIAZZALE ATLETI AZZURRI;2;PIAZZALE ATLETI D`ITALIA P.L. 4;Savena;LUNGO SAVENA;44.46424, 11.382016
1124;LONGO;2;VIA LONGO FR ING. GIARDINI ALESSANDRINI;Savena;LUNGO SAVENA;44.466176, 11.384584
1125;LONGO;2;VIA LONGO 15;Savena;LUNGO SAVENA;44.466033, 11.384075
1127;ROTONDA MEZZINI;1;VIA ALBERTO MARIO;Savena;LUNGO SAVENA;44.462465, 11.37948
1128;BELLARIA LOMBARDIA;1;VIA BELLARIA 30;Savena;PONTEVECCHIO - MAZZINI;44.476783, 11.386185
1129;PIAZZALE ATLETI AZZURRI;1;PIAZZALE A. AZZURRI D`ITALIA FR 3/5;Savena;LUNGO SAVENA;44.464294, 11.381553
1131;BELLARIA LOMBARDIA;1;VIA BELLARIA 49/A;Savena;PONTEVECCHIO - MAZZINI;44.475904, 11.387344
1132;PIAZZALE ATLETI AZZURRI;1;PIAZZALE A. AZZURRI D`ITALIA 3/5;Savena;LUNGO SAVENA;44.464468, 11.381887
1133;CENTRO CIVICO MAZZINI;1;VIA GENOVA FR P.L. 5;Savena;PONTEVECCHIO - MAZZINI;44.47434, 11.390235
1134;CENTRO CIVICO MAZZINI;1;VIA GENOVA P.L. 4;Savena;PONTEVECCHIO - MAZZINI;44.474625, 11.389932
1135;GENOVA;1;VIA GENOVA FR PL 19;Savena;PONTEVECCHIO - MAZZINI;44.472768, 11.394345
1136;GENOVA;1;VIA GENOVA FR P.L. 20;Savena;PONTEVECCHIO - MAZZINI;44.472964, 11.394478
1138;ROTONDA MEZZINI;1;VIA ALBERTO MARIO;Savena;LUNGO SAVENA;44.462443, 11.379655
1141;ADIGE;1;VIA PO FR P.L. 21;Savena;PONTEVECCHIO - MAZZINI;44.477383, 11.37991
1142;ADIGE;1;VIA PO FR P.L. 22;Savena;PONTEVECCHIO - MAZZINI;44.47747, 11.379587
1143;VENEZIA GIULIA;1;VIA FRIULI-VENEZIA GIULIA FR 8;Savena;PONTEVECCHIO - MAZZINI;44.478289, 11.38177
1144;VENEZIA GIULIA;1;VIA FRIULI-VENEZIA GIULIA 8;Savena;PONTEVECCHIO - MAZZINI;44.478341, 11.381885
1151;FAENZA;3;VIA ARNO 32;Savena;PONTEVECCHIO - MAZZINI;44.47323, 11.387763
1152;CENTRO GALLIA;4;VIA CAVAZZONI 3;Savena;PONTEVECCHIO - MAZZINI;44.469594, 11.384283
1153;ARNO;2;VIA ARNO FR 5;Savena;PONTEVECCHIO - MAZZINI;44.47644, 11.390132
1154;FAENZA;4;VIA ARNO FR 34;Savena;PONTEVECCHIO - MAZZINI;44.473074, 11.387492
1156;ARNO;4;VIA ARNO 1/N;Savena;PONTEVECCHIO - MAZZINI;44.476845, 11.390123
1200;OSPEDALE MALPIGHI - ALEMA;1;VIA PALAGI CIV.1;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.486961, 11.366479
1201;OSPEDALE MALPIGHI;6;VIA PALAGI FR 8;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.488566, 11.366393
1202;OSPEDALE MALPIGHI;2;VIA SCHIASSI 6;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.489287, 11.366762
1203;PIZZARDI;2;VIA PIZZARDI 39/C;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.489808, 11.368581
1204;MENGOLI;2;VIA SCHIASSI 30/4;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.488337, 11.370018
1205;MENGOLI;2;VIA PIZZARDI 63;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.48867, 11.37222
1206;AZZURRA;4;VIA AZZURRA 56;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.486507, 11.373201
1209;AZZURRA;3;VIA AZZURRA 67;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.486402, 11.373021
1210;FOSSOLO;1;VIALE FELSINA 27;Savena;FOSSOLO - DUE MADONNE;44.486064, 11.377182
1211;FOSSOLO;1;VIALE FELSINA P.L. 44;Savena;PONTEVECCHIO - MAZZINI;44.48605, 11.377006
1212;FELSINA;1;VIALE FELSINA 17;Savena;FOSSOLO - DUE MADONNE;44.483896, 11.380967
1213;FELSINA;1;VIALE FELSINA P.L. 58;Savena;PONTEVECCHIO - MAZZINI;44.483818, 11.380851
1214;ALLENDE;2;VIALE LINCOLN 2;Savena;FOSSOLO - DUE MADONNE;44.482871, 11.385214
1217;ALLENDE;3;VIALE LINCOLN P.L. 8;Savena;PONTEVECCHIO - MAZZINI;44.482721, 11.385962
1218;LINCOLN;1;VIALE LINCOLN FR P.L. 14;Savena;FOSSOLO - DUE MADONNE;44.48238, 11.389343
1219;LINCOLN;2;VIALE LINCOLN 5;Savena;FOSSOLO - DUE MADONNE;44.481987, 11.390057
1251;MENGOLI;1;VIA MENGOLI 30/A;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.48952, 11.3716
1252;MENGOLI;1;VIA MENGOLI 23;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.489142, 11.371572
1253;AGNESI;1;VIA MENGOLI 14;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.487753, 11.370422
1254;AGNESI;1;VIA MENGOLI 1/2;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.486177, 11.369591
1261;LENIN;2;VIA LENIN FR 6;Savena;PONTEVECCHIO - MAZZINI;44.48126, 11.383061
1262;LENIN;1;VIA LENIN FR P.L. 10;Savena;PONTEVECCHIO - MAZZINI;44.481204, 11.382744
1263;POMPONAZZI;1;VIA BOMBICCI 11;Savena;FOSSOLO - DUE MADONNE;44.48068, 11.390116
1264;POMPONAZZI;1;VIA BOMBICCI FR 11;Savena;FOSSOLO - DUE MADONNE;44.480797, 11.390109
1266;BOMBICCI;1;VIA BOMBICCI P.L. 24;Savena;FOSSOLO - DUE MADONNE;44.479206, 11.394332
1301;DANTE;1;VIA DANTE 13;Santo Stefano;MURRI;44.48741, 11.358712
1302;DANTE;1;VIA DANTE 32;Santo Stefano;MURRI;44.487669, 11.359691
1303;PIAZZA TRENTO TRIESTE;1;VIA ALBERTI 1/2;Santo Stefano;MURRI;44.486598, 11.362729
1304;PIAZZA TRENTO TRIESTE;1;VIALE ORIANI 2/G;Santo Stefano;MURRI;44.486633, 11.361485
1305;SAVIOLI;1;VIA ALBERTI 33;Santo Stefano;MURRI;44.48605, 11.36399
1306;SAVIOLI;1;VIA MEZZOFANTI 12;Santo Stefano;MURRI;44.484367, 11.363079
1309;MEZZOFANTI;2;VIA MEZZOFANTI 45;Santo Stefano;MURRI;44.483508, 11.365006
1310;MEZZOFANTI;2;VIA MEZZOFANTI 26;Santo Stefano;MURRI;44.483452, 11.365519
1311;ALBINI;3;VIA MEZZOFANTI 71;Santo Stefano;MURRI;44.482374, 11.368003
1312;ALBINI;3;VIA MEZZOFANTI 36;Santo Stefano;MURRI;44.482099, 11.369111
1313;LARGO LERCARO;3;VIA DAGNINI 30/D;Santo Stefano;MURRI;44.480099, 11.370062
1314;LARGO LERCARO;4;VIA DAGNINI 27;Santo Stefano;MURRI;44.479706, 11.369932
1351;ALEMANNI - AGEOP RICERCA;3;VIA MASI P.L. 3;Santo Stefano;MURRI;44.486056, 11.365851
1352;ALEMANNI - AGEOP RICERCA;3;VIA MASI 4;Santo Stefano;MURRI;44.486283, 11.366212
1353;LAURA BASSI;1;VIA BASSI L. 1/D;Santo Stefano;MURRI;44.48524, 11.368748
1354;LAURA BASSI;1;VIA BASSI L. 20;Santo Stefano;MURRI;44.483105, 11.367505
1400;FERMATA SERVIZIO DUE MADO;4;INTERNO DEPOSITO DUE MADONNE;Savena;FOSSOLO - DUE MADONNE;44.4848, 11.39456
1401;MONDOLFO;4;VIA DUE MADONNE P.L. 20;Savena;FOSSOLO - DUE MADONNE;44.481503, 11.393369
1402;MONDOLFO;4;VIA DUE MADONNE FR 9;Savena;FOSSOLO - DUE MADONNE;44.48133, 11.393048
1403;DEPOSITO DUE MADONNE 1;4;VIA DUE MADONNE P.L. 21221;Savena;FOSSOLO - DUE MADONNE;44.483156, 11.394393
1404;DEPOSITO DUE MADONNE 1;4;VIA DUE MADONNE FR. P.L. 21221;Savena;FOSSOLO - DUE MADONNE;44.483205, 11.394244
1405;DEPOSITO DUE MADONNE 2;4;VIA DUE MADONNE P.L. 37;Savena;FOSSOLO - DUE MADONNE;44.485155, 11.395669
1406;DEPOSITO DUE MADONNE 2;5;VIA DUE MADONNE P.L. 36;Savena;FOSSOLO - DUE MADONNE;44.485213, 11.395495
1407;CANOVA;4;NUOVO SOTTOPASSO DI VIA DUE MADONNE;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.487997, 11.397093
