civ_key;nome;servizio;gestione;istituzione_scolastica;quartiere;indirizzo;numero_civico;zona_di_prossimita;geo_point
577000008000;NUOVA SCUOLA INFANZIA GIARDINO POZZATI (IN CORSO DI REALIZZAZIONE);SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA TINTORETTO;8;BARCA;"{""type"":""Point"",""coordinates"":[11.297182468,44.49839235]}"
580000007000;RIGHI (SEDE DISTACCATA);SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Porto - Saragozza;VIA TOLMINO;7;SAFFI;"{""type"":""Point"",""coordinates"":[11.317949282,44.497459616]}"
580500001000;PRESI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA LEONE TOLSTOI;1;BARCA;"{""type"":""Point"",""coordinates"":[11.288567912,44.496766057]}"
580500003000;GRAMSCI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA LEONE TOLSTOI;3;BARCA;"{""type"":""Point"",""coordinates"":[11.288797306,44.49711237]}"
584000036000;PRIMAVERA;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA DELLA TORRETTA;36;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.37255265,44.497830072]}"
586000148000;FARLOTTINE - SAN DOMENICO SUCCURSALE;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;FARLOTTINE - SAN DOMENICO;Savena;VIA TOSCANA;148;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;"{""type"":""Point"",""coordinates"":[11.370067867,44.456496998]}"
595000043000;NONNA ELIDE;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;NONNA ELIDE;Porto - Saragozza;VIA FILIPPO TURATI;43;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.322283064,44.492774049]}"
595000084000;BOMBICCI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 08;Porto - Saragozza;VIA FILIPPO TURATI;84;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.321840143,44.491299207]}"
602800002000;DON MINZONI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 11;San Donato - San Vitale;VIA VALPARAISO;2;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.379467274,44.507598454]}"
604500056000;ARCANGELI (SEDE DISTACCATA);SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Santo Stefano;VIA LODOVICO VARTHEMA;56;MURRI;"{""type"":""Point"",""coordinates"":[11.364056232,44.474845133]}"
608000024000;XXI APRILE;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 08;Porto - Saragozza;VIA XXI APRILE 1945;24;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.315016978,44.491869455]}"
612300019000;PANZINI;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 04;Navile;VIA GIULIO VERNE;19;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.361364964,44.545423961]}"
612300021000;ECKHARDT E KAY MADER;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 04;Navile;VIA GIULIO VERNE;21;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.361927934,44.545657524]}"
613500002010;L'ARCOBALENO DEI PULCINI;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;L'ARCOBALENO DEI PULCINI;San Donato - San Vitale;VIA LUIGI VESTRI;2;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.357200432,44.506253525]}"
613500006000;VESTRI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA LUIGI VESTRI;6;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.356538277,44.505593471]}"
615500019000;CPIA 2;SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Porto - Saragozza;VIALE GIOVANNI VICINI;19;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.327565289,44.498011997]}"
615500021000;ALDROVANDI RUBBIANI (SEDE DISTACCATA);SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Porto - Saragozza;VIALE GIOVANNI VICINI;21;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.327417991,44.498450815]}"
617000016000;FILONIDO;NIDO D'INFANZIA;INTERAZIENDALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA DELLA VILLA;16;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.367444328,44.506053632]}"
619000036000;SACRA FAMIGLIA;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;SACRA FAMIGLIA;San Donato - San Vitale;VIA SANTE VINCENZI;36;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.367179434,44.497028951]}"
619000036040;IL PELLICANO;SCUOLA PRIMARIA;PRIVATA PARITARIA;IL PELLICANO;San Donato - San Vitale;VIA SANTE VINCENZI;36;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.367345431,44.497410261]}"
619000043000;IRNERIO SUCCURSALE;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 06;San Donato - San Vitale;VIA SANTE VINCENZI;43;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.366330738,44.496045487]}"
624000056000;DON BOSCO;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 16;San Donato - San Vitale;VIA POMPEO VIZZANI;56;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.370743114,44.490688388]}"
624000058020;DON BOSCO;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 16;San Donato - San Vitale;VIA POMPEO VIZZANI;58;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.371318512,44.49034154]}"
626900009000;ZACCHERINI ALVISI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA GIOVANNA ZACCHERINI ALVISI;9;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.360741934,44.49434722]}"
627300001000;TOBAGI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIALE ZAGABRIA;1;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.377545838,44.507414272]}"
628500015000;ZAMBONI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIA ZAMBONI;15;IRNERIO;"{""type"":""Point"",""coordinates"":[11.350073662,44.495979429]}"
631000028050;POSTE BIMBI;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;POSTE BIMBI;Navile;VIA FRANCESCO ZANARDI;28;BEVERARA;"{""type"":""Point"",""coordinates"":[11.326259718,44.510142129]}"
