civ_key;nome;servizio;gestione;istituzione_scolastica;quartiere;indirizzo;numero_civico;zona_di_prossimita;geo_point
076500049000;BENEDETTO XV;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;BENEDETTO XV;Navile;VIA DI BERTALIA;49;BERTALIA - NOCE;"{""type"":""Point"",""coordinates"":[11.317156793,44.520305516]}"
081000058120;ELEFANTINO BLU;NIDO D'INFANZIA;COMUNALE IN CONCESSIONE;COMUNE DI BOLOGNA;Navile;VIA DELLA BEVERARA;58;BEVERARA;"{""type"":""Point"",""coordinates"":[11.3295911,44.516200246]}"
081000158000;BOTTEGO;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 03;Navile;VIA DELLA BEVERARA;158;BEVERARA;"{""type"":""Point"",""coordinates"":[11.330453008,44.520502691]}"
081000188000;SALVO D'ACQUISTO;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 03;Navile;VIA DELLA BEVERARA;188;BEVERARA;"{""type"":""Point"",""coordinates"":[11.330665763,44.522403602]}"
081300008000;WALT DISNEY;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIA BEZZECCA;8;LUNGO SAVENA;"{""type"":""Point"",""coordinates"":[11.383713528,44.467662127]}"
081300010000;CAVAZZONI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIA BEZZECCA;10;LUNGO SAVENA;"{""type"":""Point"",""coordinates"":[11.383643275,44.469181038]}"
083000038000;VOLTA;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 14;Borgo Panigale - Reno;VIA DOMENICO BIANCOLELLI;38;BORGO PANIGALE;"{""type"":""Point"",""coordinates"":[11.267780425,44.522619337]}"
085000001020;BIGARI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA VITTORIO BIGARI;1;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.35091045,44.50764438]}"
088500008000;ZAMBONI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 16;Santo Stefano;VICOLO BOLOGNETTI;8;IRNERIO;"{""type"":""Point"",""coordinates"":[11.35417425,44.493140515]}"
088500010000;GUIDO RENI;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 16;Santo Stefano;VICOLO BOLOGNETTI;10;IRNERIO;"{""type"":""Point"",""coordinates"":[11.354171926,44.492914058]}"
089000056000;ASILO SACRO CUORE;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;SACRO CUORE;Borgo Panigale - Reno;VIA RAFFAELE BOMBELLI;56;BORGO PANIGALE;"{""type"":""Point"",""coordinates"":[11.275866575,44.519633007]}"
089300003000;TROTTOLA;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIA LUIGI BOMBICCI;3;FOSSOLO - DUE MADONNE;"{""type"":""Point"",""coordinates"":[11.389151336,44.480734265]}"
092000005000;IL GIARDINO SEGRETO;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;IL GIARDINO SEGRETO;Santo Stefano;VICOLO BORCHETTA;5;IRNERIO;"{""type"":""Point"",""coordinates"":[11.355590051,44.49211031]}"
096500007030;I PASSEROTTI;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;SCUOLA DELL'INFANZIA I PASSEROTTI SCUOLA ALL'APERTO;Navile;VIA DELLE BORRE;7;BERTALIA - NOCE;"{""type"":""Point"",""coordinates"":[11.316809121,44.521900857]}"
100300028000;VILLA MAY;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA ELIO BRAGAGLIA;28;BORGO PANIGALE;"{""type"":""Point"",""coordinates"":[11.276662288,44.514986772]}"
100900010000;CIARI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;LARGO BRESCIA;10;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.379999322,44.476268815]}"
103500048000;LAURA BASSI (SEDE DISTACCATA);SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Santo Stefano;VIA BROCCAINDOSSO;48;IRNERIO;"{""type"":""Point"",""coordinates"":[11.355362842,44.493388477]}"
106000016000;LIPPARINI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 14;Borgo Panigale - Reno;VIA MAURIZIO BUFALINI;16;BORGO PANIGALE;"{""type"":""Point"",""coordinates"":[11.274746825,44.520650549]}"
106700002020;FERRARI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 13;Savena;VIA BUON PASTORE;2;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;"{""type"":""Point"",""coordinates"":[11.369042902,44.45939627]}"
106700004000;LEONARDO DA VINCI;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 13;Savena;VIA BUON PASTORE;4;VIA TOSCANA - S. RUFFILLO - MONTE DONATO;"{""type"":""Point"",""coordinates"":[11.368575226,44.45946288]}"
108500019000;GREEN CORNER;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;GREEN CORNER;Porto - Saragozza;VIA LUIGI BUSI;19;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.322552755,44.496856088]}"
109500013020;ZUCCHELLI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA DELLA CA' BIANCA;13;BERTALIA - NOCE;"{""type"":""Point"",""coordinates"":[11.322013736,44.523978019]}"
109500013030;ZUCCHELLI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA DELLA CA' BIANCA;13;BERTALIA - NOCE;"{""type"":""Point"",""coordinates"":[11.322161052,44.524132108]}"
111300019000;GIDA ROSSI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA CADUTI DI CASTELDEBOLE;19;CASTELDEBOLE - PONTELUNGO;"{""type"":""Point"",""coordinates"":[11.277254626,44.500408503]}"
111300021000;AMICO GATTONE;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA CADUTI DI CASTELDEBOLE;21;CASTELDEBOLE - PONTELUNGO;"{""type"":""Point"",""coordinates"":[11.277157354,44.500236343]}"
118000008000;GUIDI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 17;Porto - Saragozza;VIA LUIGI CALORI;8;MARCONI;"{""type"":""Point"",""coordinates"":[11.330976451,44.500392797]}"
119000003030;ALDO MORO;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA PIER FORTUNATO CALVI;3;BIRRA - BARGELLINO - LAVINO;"{""type"":""Point"",""coordinates"":[11.292763782,44.520034003]}"
122400053000;ADA NEGRI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA DINO CAMPANA;53;SAN DONATO NUOVO;"{""type"":""Point"",""coordinates"":[11.397934165,44.512581116]}"
122400055000;ADA NEGRI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA DINO CAMPANA;55;SAN DONATO NUOVO;"{""type"":""Point"",""coordinates"":[11.397915057,44.512808111]}"
137000005000;BAIESI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA DEL CARROCCIO;5;BORGO PANIGALE;"{""type"":""Point"",""coordinates"":[11.264867425,44.522494462]}"
138000009000;ARCANGELI - CENTRO DIDATTICA DELLE ARTI (2006);SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Santo Stefano;VIA CARTOLERIA;9;GALVANI;"{""type"":""Point"",""coordinates"":[11.348740695,44.48934584]}"
139000039000;CASAGLIA;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Porto - Saragozza;VIA DI CASAGLIA;39;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.307943236,44.477850867]}"
141000011000;GUINIZELLI;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 08;Porto - Saragozza;VIA CA' SELVATICA;11;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.333229985,44.492796346]}"
141000011030;ANNA SERRA PLESSO 1;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Porto - Saragozza;VIA CA' SELVATICA;11;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.333432921,44.492820367]}"
142200003000;BELLUZZI FIORAVANTI;SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Borgo Panigale - Reno;VIA GIOVANNI DOMENICO CASSINI;3;BARCA;"{""type"":""Point"",""coordinates"":[11.285208297,44.489788336]}"
147000038000;GALVANI (SEDE CENTRALE);SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Santo Stefano;VIA CASTIGLIONE;38;GALVANI;"{""type"":""Point"",""coordinates"":[11.347457777,44.489248291]}"
148500004020;ROMAGNOLI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIA ALFREDO CATALANI;4;MURRI;"{""type"":""Point"",""coordinates"":[11.370179319,44.475697629]}"
151900003000;ATELIER DEI PICCOLI;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;ATELIER DEI PICCOLI;San Donato - San Vitale;VIA BONAVENTURA CAVALIERI;3;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.369478689,44.494627451]}"
15190000500A;ATELIER DEI PICCOLI;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;ATELIER DEI PICCOLI;San Donato - San Vitale;VIA BONAVENTURA CAVALIERI;5;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.370661537,44.494650678]}"
153500002000;SPAZIO;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIA FRANCESCO CAVAZZONI;2;LUNGO SAVENA;"{""type"":""Point"",""coordinates"":[11.381769487,44.470115378]}"
166500006000;SANTA MARIA DI LEUCA;SCUOLA DELL'INFANZIA;PRIVATA NON PARITARIA;SANTA MARIA DI LEUCA;Navile;VIA CARLO CIGNANI;6;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.348262936,44.515009538]}"
166500031000;PATINI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA CARLO CIGNANI;31;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.350162277,44.513971077]}"
168500007000;KINDER HAUS;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;KINDER HAUS;Santo Stefano;VIA CINO DA PISTOIA;7;OSSERVANZA - PADERNO;"{""type"":""Point"",""coordinates"":[11.332699241,44.48605334]}"
173000038060;MARSILI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA COLOMBAROLA;38;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.358639165,44.544933908]}"
179500147020;GIUSI DEL MUGNAIO;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA DI CORTICELLA;147;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.351280248,44.525548182]}"
180000155000;MARIA AUSILIATRICE E SAN GIOVANNI IN BOSCO;SCUOLA PRIMARIA;PRIVATA PARITARIA;MARIA AUSILIATRICE;Porto - Saragozza;VIA ANDREA COSTA;155;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.313580423,44.49459571]}"
180000162000;ARCO GUIDI - PLESSO COSTA;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Porto - Saragozza;VIA ANDREA COSTA;162;SARAGOZZA - SAN LUCA;"{""type"":""Point"",""coordinates"":[11.31164872,44.493678102]}"
184000027050;DAVID SASSOLI - (EX NUOVA INFANZIA NAVILE);SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 05;Navile;VIA CRISTOFORO DA BOLOGNA;27;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.338619087,44.519939647]}"
184000029000;GROSSO;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 05;Navile;VIA CRISTOFORO DA BOLOGNA;29;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.338472549,44.519277918]}"
188500023020;SAN SEVERINO;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;SAN SEVERINO;Santo Stefano;VIA GIUSEPPE DAGNINI;23;MURRI;"{""type"":""Point"",""coordinates"":[11.370041748,44.479278939]}"
189000004000;ROSA LUXEMBURG;SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Navile;VIA DALLA VOLTA;4;BERTALIA - NOCE;"{""type"":""Point"",""coordinates"":[11.311186661,44.514510469]}"
192000003000;CARDUCCI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 20;Santo Stefano;VIA DANTE;3;GALVANI;"{""type"":""Point"",""coordinates"":[11.354627606,44.486914832]}"
193300023000;GIUSEPPE DOZZA;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 01;Borgo Panigale - Reno;VIA ADOLFO DE CAROLIS;23;BARCA;"{""type"":""Point"",""coordinates"":[11.299009419,44.499170657]}"
194000014020;PROGETTO UNO SEI;SCUOLA DELL'INFANZIA;INDIRETTA;CADIAI;Porto - Saragozza;VIA PIER DE' CRESCENZI;14;SAFFI;"{""type"":""Point"",""coordinates"":[11.328830738,44.502819276]}"
194000014030;COCCHERI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Porto - Saragozza;VIA PIER DE' CRESCENZI;14;SAFFI;"{""type"":""Point"",""coordinates"":[11.328697066,44.502836227]}"
204300002000;DELEDDA;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 22;Savena;VIA DOMODOSSOLA;2;PONTEVECCHIO - MAZZINI;"{""type"":""Point"",""coordinates"":[11.387270619,44.473392757]}"
208000006000;DOZZA;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 15;Navile;VIA DELLA DOZZA;6;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.365717421,44.529405708]}"
208000008000;DOZZA STATALE;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 15;Navile;VIA DELLA DOZZA;8;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.36526672,44.529451328]}"
209000002000;DEGLI ESPOSTI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIALE DANTE DRUSIANI;2;MURRI;"{""type"":""Point"",""coordinates"":[11.351894381,44.482142427]}"
214000121000;ALBICOCCOLE;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;ALBICOCCOLE;Borgo Panigale - Reno;VIA EMILIA PONENTE;121;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.307240048,44.506749942]}"
214000135000;CRISTO RE;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;CRISTO RE;Borgo Panigale - Reno;VIA EMILIA PONENTE;135;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.304404184,44.507383055]}"
214000311000;FIORINI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 14;Borgo Panigale - Reno;VIA EMILIA PONENTE;311;CASTELDEBOLE - PONTELUNGO;"{""type"":""Point"",""coordinates"":[11.290246229,44.511376154]}"
214300056000;CORPUS DOMINI;SCUOLA DELL'INFANZIA;PRIVATA CONVENZIONATA;CORPUS DOMINI;Savena;VIA FEDERIGO ENRIQUES;56;FOSSOLO - DUE MADONNE;"{""type"":""Point"",""coordinates"":[11.39103641,44.481042891]}"
214500022000;GROSSO;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA ERBOSA;22;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.339977177,44.520665743]}"
223200025000;FOLLEREAU;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIALE FELSINA;25;FOSSOLO - DUE MADONNE;"{""type"":""Point"",""coordinates"":[11.378419048,44.48575248]}"
223200040000;MANFREDI TANARI;SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Savena;VIALE FELSINA;40;FOSSOLO - DUE MADONNE;"{""type"":""Point"",""coordinates"":[11.385827561,44.489868599]}"
229000006000;DE GIOVANNI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIALE QUIRICO FILOPANTI;6;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.357376957,44.496610869]}"
229500002000;IRNERIO;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 06;Santo Stefano;VIA ANGELO FINELLI;2;IRNERIO;"{""type"":""Point"",""coordinates"":[11.349065077,44.502343359]}"
232700003000;BOLZANI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA FRANCESCO FLORA;3;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.338646748,44.516334539]}"
232700007000;FLORA (EX ACRI);SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA FRANCESCO FLORA;7;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.337231113,44.516349605]}"
24710000500A;HYGEIA;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;HYGEIA;Navile;VIA PAOLO FRISI;5;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.345939568,44.530879132]}"
249000057000;2 AGOSTO;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 14;Borgo Panigale - Reno;VIA GALEAZZA;57;CASTELDEBOLE - PONTELUNGO;"{""type"":""Point"",""coordinates"":[11.277045039,44.506455072]}"
249000059000;VOLTA SUCCURSALE;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 14;Borgo Panigale - Reno;VIA GALEAZZA;59;CASTELDEBOLE - PONTELUNGO;"{""type"":""Point"",""coordinates"":[11.277314515,44.506929696]}"
249000061000;ACQUERELLO;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA GALEAZZA;61;CASTELDEBOLE - PONTELUNGO;"{""type"":""Point"",""coordinates"":[11.277861996,44.507420108]}"
252000074000;DE AMICIS;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 18;Porto - Saragozza;VIA GALLIERA;74;MARCONI;"{""type"":""Point"",""coordinates"":[11.344143256,44.50339373]}"
252500001000;ERCOLANI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 06;Santo Stefano;MURA DI PORTA GALLIERA;1;IRNERIO;"{""type"":""Point"",""coordinates"":[11.349801243,44.502919929]}"
254200002000;ALLENDE;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA PIETRO GAMBERINI;2;BARCA;"{""type"":""Point"",""coordinates"":[11.292897675,44.501930912]}"
255500004000;ROCCA;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA ANTONIO GANDUSIO;4;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.356436928,44.503669598]}"
256500011000;COPERNICO;SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";San Donato - San Vitale;VIA FERRUCCIO GARAVAGLIA;11;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.36629474,44.505850801]}"
26550000100F;KIMBA;NIDO D'INFANZIA;PRIVATA CONVENZIONATA;KIMBA;Santo Stefano;VIA CHERUBINO GHIRARDACCI;1;MURRI;"{""type"":""Point"",""coordinates"":[11.360769737,44.481967831]}"
268000035000;PEDRIELLI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA DEL GIACINTO;35;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.304655921,44.510866019]}"
268000037000;DE VIGRI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 02;Borgo Panigale - Reno;VIA DEL GIACINTO;37;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.304011555,44.511734531]}"
268000039000;ZANOTTI;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 02;Borgo Panigale - Reno;VIA DEL GIACINTO;39;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.303594942,44.511742938]}"
268000042000;FAVA;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA DEL GIACINTO;42;SANTA VIOLA;"{""type"":""Point"",""coordinates"":[11.302720708,44.510824256]}"
271300002000;GIOANNETTI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 10;San Donato - San Vitale;VIA GIUSEPPE GIOANNETTI;2;SAN DONATO VECCHIO;"{""type"":""Point"",""coordinates"":[11.364951304,44.505190881]}"
274300001000;MANZINI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;PIAZZA GIOVANNI DA VERRAZZANO;1;BEVERARA;"{""type"":""Point"",""coordinates"":[11.326211656,44.519450558]}"
282500002000;SAVIO;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIA ENRICO GOLINELLI;2;FOSSOLO - DUE MADONNE;"{""type"":""Point"",""coordinates"":[11.396042156,44.47795996]}"
282500025020;CARLI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Savena;VIA ENRICO GOLINELLI;25;FOSSOLO - DUE MADONNE;"{""type"":""Point"",""coordinates"":[11.396795622,44.479182504]}"
284500011020;GOZZADINI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIALE GIOVANNI GOZZADINI;11;GALVANI;"{""type"":""Point"",""coordinates"":[11.351142058,44.485415181]}"
288500008000;GANDINO;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 17;Porto - Saragozza;VIA GRAZIANO;8;MARCONI;"{""type"":""Point"",""coordinates"":[11.331558225,44.49994204]}"
292500001000;CESANA;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 01;Borgo Panigale - Reno;VIA ALESSANDRO GUARDASSONI;1;BARCA;"{""type"":""Point"",""coordinates"":[11.298934135,44.492941635]}"
295000014000;DON MILANI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA LINO GUCCI;14;BARCA;"{""type"":""Point"",""coordinates"":[11.292088101,44.498117039]}"
299000002000;MOLINO TAMBURI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;PIAZZALE MARIO JACCHIA;2;MURRI;"{""type"":""Point"",""coordinates"":[11.356020036,44.481712048]}"
300000001000;BEATA VERGINE DI SAN LUCA;SCUOLA SECONDARIA DI PRIMO GRADO;PRIVATA PARITARIA;ISTITUTO SALESIANO BEATA VERGINE DI SAN LUCA;Navile;VIA JACOPO DELLA QUERCIA;1;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.347482967,44.50792607]}"
300000005000;MARIA AUSILIATRICE;SCUOLA SECONDARIA DI PRIMO GRADO;PRIVATA PARITARIA;MARIA AUSILIATRICE;Navile;VIA JACOPO DELLA QUERCIA;5;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.349850238,44.507614093]}"
304000002020;BETTI - PLESSO 2;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIA IRNERIO;2;IRNERIO;"{""type"":""Point"",""coordinates"":[11.346064963,44.503085858]}"
30400000202A;GIACCAGLIA BETTI;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Santo Stefano;VIA IRNERIO;2;IRNERIO;"{""type"":""Point"",""coordinates"":[11.346214031,44.503023197]}"
304500016000;MANZOLINI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 08;Porto - Saragozza;VIA S.ISAIA;16;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.334177429,44.493546752]}"
304500020000;MANZOLINI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 08;Porto - Saragozza;VIA S.ISAIA;20;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.333733416,44.49362759]}"
304500035000;LAURA BASSI (SEDE CENTRALE);SCUOLA SECONDARIA DI SECONDO GRADO;STATALE;"";Porto - Saragozza;VIA S.ISAIA;35;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.332116332,44.494118518]}"
304500077000;MALPIGHI;SCUOLA SECONDARIA DI SECONDO GRADO;PRIVATA PARITARIA;"";Porto - Saragozza;VIA S.ISAIA;77;MALPIGHI;"{""type"":""Point"",""coordinates"":[11.329301475,44.494622275]}"
312000001000;MAZZINI;SCUOLA DELL'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Borgo Panigale - Reno;VIA LEGNANO;1;BORGO PANIGALE;"{""type"":""Point"",""coordinates"":[11.265674793,44.522397499]}"
315500003000;GIOVANNI XXIII;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 01;Borgo Panigale - Reno;VIA LEONARDO DA VINCI;3;BARCA;"{""type"":""Point"",""coordinates"":[11.285531659,44.497394527]}"
317800010000;DON MILANI;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 21;Santo Stefano;LARGO CARD. GIACOMO LERCARO;10;MURRI;"{""type"":""Point"",""coordinates"":[11.372814272,44.47977945]}"
317800014000;PEPOLI;SCUOLA SECONDARIA DI PRIMO GRADO;STATALE;ISTITUTO COMPRENSIVO N. 21;Santo Stefano;LARGO CARD. GIACOMO LERCARO;14;MURRI;"{""type"":""Point"",""coordinates"":[11.373809263,44.479345274]}"
319100020000;POLLICINO;SCUOLA DELL'INFANZIA;INDIRETTA;CADIAI;Navile;PIAZZA LIBER PARADISUS;20;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.340179229,44.510281617]}"
320500053000;PIUINSIEME;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;San Donato - San Vitale;VIA LIBIA;53;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.366015857,44.495611986]}"
320500057000;GIORDANI;SCUOLA DELL'INFANZIA;STATALE;ISTITUTO COMPRENSIVO N. 06;San Donato - San Vitale;VIA LIBIA;57;CIRENAICA - MASSARENTI - SCANDELLARA;"{""type"":""Point"",""coordinates"":[11.365951604,44.496059837]}"
322000007000;FRESU;NIDO D'INFANZIA;COMUNALE;COMUNE DI BOLOGNA;Navile;VIA AMEDEO LIPPARINI;7;CORTICELLA - DOZZA;"{""type"":""Point"",""coordinates"":[11.358228883,44.539571706]}"
324000040000;CASARALTA;SCUOLA PRIMARIA;STATALE;ISTITUTO COMPRENSIVO N. 15;Navile;VIA ALFONSO LOMBARDI;40;BOLOGNINA;"{""type"":""Point"",""coordinates"":[11.351701165,44.516553636]}"
